set,group,exam,instance,NC,RF,RS,model,heuristic,config,dominance,solved,makespan,time,expand_number,generated_number,depth,dominance_pruned,dominance_pop_pruned,ub_pruned,dr4_pruned,run_date,machine,source_file
j30,3,10,j303_10,1.5,0.25,0.7,TT,CP,base,False,True,59,1.26261,140683,598714,33,,,,,2026-02-01,laptop,data/real_data/2026-02-01_j30_g1-48_e1-10_tt_cp_dp.csv
j30,4,1,j304_1,1.5,0.25,1.0,TT,CP,base,False,True,49,0.00145821,80,382,33,,,,,2026-02-01,laptop,data/real_data/2026-02-01_j30_g1-48_e1-10_tt_cp_dp.csv
j30,4,2,j304_2,1.5,0.25,1.0,TT,CP,base,False,True,60,0.00112167,69,292,33,,,,,2026-02-01,laptop,data/real_data/2026-02-01_j30_g1-48_e1-10_tt_cp_dp.csv
j30,4,3,j304_3,1.5,0.25,1.0,TT,CP,base,False,True,47,0.00400288,250,1283,33,,,,,2026-02-01,laptop,data/real_data/2026-02-01_j30_g1-48_e1-10_tt_cp_dp.csv
j30,4,4,j304_4,1.5,0.25,1.0,TT,CP,base,False,True,57,0.00349871,221,1030,33,,,,,2026-02-01,laptop,data/real_data/2026-02-01_j30_g1-48_e1-10_tt_cp_dp.csv
j30,4,5,j304_5,1.5,0.25,1.0,TT,CP,base,False,True,59,0.0487756,2387,15521,33,,,,,2026-02-01,laptop,data/real_data/2026-02-01_j30_g1-48_e1-10_tt_cp_dp.csv
j30,4,6,j304_6,1.5,0.25,1.0,TT,CP,base,False,True,45,0.000539292,39,136,33,,,,,2026-02-01,laptop,data/real_data/2026-02-01_j30_g1-48_e1-10_tt_cp_dp.csv
j30,4,7,j304_7,1.5,0.25,1.0,TT,CP,base,False,True,56,0.00171292,101,495,33,,,,,2026-02-01,laptop,data/real_data/2026-02-01_j30_g1-48_e1-10_tt_cp_dp.csv
j30,4,8,j304_8,1.5,0.25,1.0,TT,CP,base,False,True,55,0.00124154,74,348,33,,,,,2026-02-01,laptop,data/real_data/2026-02-01_j30_g1-48_e1-10_tt_cp_dp.csv
j30,4,9,j304_9,1.5,0.25,1.0,TT,CP,base,False,True,38,0.0983685,5341,33448,33,,,,,2026-02-01,laptop,data/real_data/2026-02-01_j30_g1-48_e1-10_tt_cp_dp.csv
j30,4,10,j304_10,1.5,0.25,1.0,TT,CP,base,False,True,48,0.00286012,287,1038,33,,,,,2026-02-01,laptop,data/real_data/2026-02-01_j30_g1-48_e1-10_tt_cp_dp.csv
j30,5,1,j305_1,1.5,0.5,0.2,TT,CP,base,False,True,53,55.9894,2743314,14024947,33,,,,,2026-02-01,laptop,data/real_data/2026-02-01_j30_g1-48_e1-10_tt_cp_dp.csv
j30,5,2,j305_2,1.5,0.5,0.2,TT,CP,base,False,False,,300.0,6191409,30872814,,,,,,2026-02-01,laptop,data/real_data/2026-02-01_j30_g1-48_e1-10_tt_cp_dp.csv
j30,5,3,j305_3,1.5,0.5,0.2,TT,CP,base,False,False,,300.0,5776145,30054199,,,,,,2026-02-01,laptop,data/real_data/2026-02-01_j30_g1-48_e1-10_tt_cp_dp.csv
j30,5,4,j305_4,1.5,0.5,0.2,TT,CP,base,False,False,,300.0,4330177,27948409,,,,,,2026-02-01,laptop,data/real_data/2026-02-01_j30_g1-48_e1-10_tt_cp_dp.csv
