group,exam,time,finished,makespan,expand number,generated number,depth,true makespan,iyar solved,iyar time,iyar expanded,iyar generated,is makespan OK?,time- part,NC,RF,RS,time ratio,expand ratio,generated ratio
9,9,600.002,FALSE,0,389786,2236463,0,63,FALSE,,,,,Out of Range,1.5,0.75,0.2,,,
9,10,600.003,FALSE,0,320403,2116131,0,88,FALSE,,,,,Out of Range,1.5,0.75,0.2,,,
10,1,600.002,FALSE,0,279094,1669124,0,42,TRUE,357.3127592,499070,2964918,,Out of Range,1.5,0.75,0.5,,,
10,2,600.003,FALSE,0,322376,1249694,0,56,TRUE,258.5039985,447254,1698128,,Out of Range,1.5,0.75,0.5,,,
10,3,655.899,FALSE,0,264902,1255256,0,62,FALSE,,,,,Out of Range,1.5,0.75,0.5,,,
10,4,600.003,FALSE,0,387850,1759619,0,58,TRUE,315.6718671,537306,2427401,,Out of Range,1.5,0.75,0.5,,,
10,5,608.892,FALSE,0,232543,1226231,0,41,TRUE,366.5036547,876071,4799804,,Out of Range,1.5,0.75,0.5,,,
10,6,600.003,FALSE,0,257200,1353160,0,44,FALSE,,,,,Out of Range,1.5,0.75,0.5,,,
10,7,35.8451,TRUE,49,37044,203449,33,49,TRUE,24.68934011,37197,204320,1,10-60 sec,1.5,0.75,0.5,1.451845203,0.995886765,0.995737079
10,8,600.002,FALSE,0,338792,1946861,0,54,FALSE,,,,,Out of Range,1.5,0.75,0.5,,,
10,9,0.11927,TRUE,49,155,801,33,49,TRUE,0.125059843,75,289,1,0-10 sec,1.5,0.75,0.5,0.95370342,2.066666667,2.771626298
10,10,600.014,FALSE,0,287806,1806355,0,41,FALSE,,,,,Out of Range,1.5,0.75,0.5,,,
11,1,2.58421,TRUE,54,3947,17518,33,54,TRUE,2.44666481,4095,18086,1,0-10 sec,1.5,0.75,0.7,1.056217423,0.963858364,0.968594493
11,2,0.08105,TRUE,56,146,556,33,56,TRUE,1.598967314,2933,10908,1,0-10 sec,1.5,0.75,0.7,0.050688966,0.049778384,0.050971764
11,3,15.4645,TRUE,81,20206,92244,33,81,TRUE,8.010982275,23751,106346,1,10-60 sec,1.5,0.75,0.7,1.93041246,0.850743127,0.867395107
11,4,600.002,FALSE,0,315039,1462189,0,63,TRUE,487.8029304,725658,3309528,,Out of Range,1.5,0.75,0.7,,,
11,5,35.7409,TRUE,49,34033,218244,33,49,TRUE,24.59780955,34751,223405,1,10-60 sec,1.5,0.75,0.7,1.453011494,0.979338724,0.976898458
11,6,1.86477,TRUE,44,1707,11168,33,44,TRUE,1.993770838,2108,12984,1,0-10 sec,1.5,0.75,0.7,0.935298062,0.809772296,0.860135551
11,7,106.797,TRUE,36,80516,454995,33,36,TRUE,67.0077033,85236,478236,1,1-2 min,1.5,0.75,0.7,1.593801828,0.944624337,0.951402655
11,8,0.887181,TRUE,62,1701,6172,33,62,TRUE,0.546901941,1687,6043,1,0-10 sec,1.5,0.75,0.7,1.622193914,1.008298755,1.021347013
11,9,0.0525428,TRUE,67,81,344,33,67,TRUE,0.116775274,88,389,1,0-10 sec,1.5,0.75,0.7,0.449947992,0.920454545,0.884318766
11,10,0.129712,TRUE,38,170,831,33,38,TRUE,0.383192778,447,2140,1,0-10 sec,1.5,0.75,0.7,0.338503248,0.380313199,0.388317757
12,1,0.0291562,TRUE,47,40,167,33,47,TRUE,0.064079285,40,176,1,0-10 sec,1.5,0.75,1,0.455001956,1,0.948863636
12,2,0.0400429,TRUE,46,55,269,33,46,TRUE,0.055185795,37,164,1,0-10 sec,1.5,0.75,1,0.725601579,1.486486486,1.640243902
12,3,0.135874,TRUE,37,179,916,33,37,TRUE,0.209252357,172,892,1,0-10 sec,1.5,0.75,1,0.649330798,1.040697674,1.02690583
12,4,0.0713696,TRUE,63,92,480,33,63,TRUE,0.152185202,91,480,1,0-10 sec,1.5,0.75,1,0.468965439,1.010989011,1
