heuristic,TT_solved,TT2_solved,both_solved,geomean_node_ratio_TT_over_TT2,geomean_time_ratio_TT_over_TT2
LBMAX,277,301,248,3.50,0.42
LBCS,277,299,247,3.63,0.49
