heuristic,TT_solved,TT2_solved,both_solved,geomean_node_ratio_TT_over_TT2,geomean_time_ratio_TT_over_TT2
LBMAX,161,209,123,56.17,6.69
LBCS,158,208,119,56.23,17.55
