heuristic,TT_solved,TT2_solved,both_solved,geomean_node_ratio_TT_over_TT2,geomean_time_ratio_TT_over_TT2
CP,192,241,160,6.36,0.69
LBCC,266,236,219,0.15,0.20
LBCS,189,240,156,5.69,1.09
