configuration,solved_dom,solved_base,solved_delta,avg_time_dom,avg_time_base,avg_expand_dom,avg_expand_base
TT CP +dr,392,391,1,5.33,11.93,37880,720638
TT LBCC +dr,391,388,3,5.43,12.47,37919,529237
TT LBIP0 +dr,391,391,0,5.70,11.23,43720,602342
TT LBMAX +dr,392,391,1,5.59,11.94,37900,720637
TT LBCS +dr,402,396,6,8.62,12.96,56316,674546
TT2 LBMAX +dom,480,476,4,0.36,4.80,32953,642996
TT2 LBCS +dom,480,477,3,0.37,4.98,31363,637239
