configuration,instances,solved,avg_time_solved_s,avg_expanded_solved
TT CP +dr,480,392,5.33,37880
TT LBCC,480,388,12.47,529237
TT LBCC +dr,480,391,5.43,37919
TT LBIP0 +dr,480,391,5.70,43720
TT LBMAX +dr,480,392,5.59,37900
TT LBCS,480,396,12.96,674546
TT LBCS +dr,480,402,8.62,56316
TT2 CP,480,476,4.78,642996
TT2 LBCC,480,476,5.72,604701
TT2 LBIP0,480,476,4.52,611338
TT2 LBMAX,480,476,4.80,642996
TT2 LBMAX +dom,480,480,0.36,32953
TT2 LBCS,480,477,4.98,637239
TT2 LBCS +dom,480,480,0.37,31363
TT2 LBER (d3),480,477,5.46,892346
