heuristic,TT_solved,TT2_solved,both_solved,geomean_node_ratio_TT_over_TT2,geomean_time_ratio_TT_over_TT2
LBMAX,392,480,392,1.53,7.95
LBCS,402,480,402,1.64,7.78
