configuration,instances,solved,avg_time_solved_s,avg_expanded_solved
TT CP +dr,480,277,11.13,180413
TT LBCC +dr,480,253,16.94,205275
TT LBIP0 +dr,480,261,17.23,331367
TT LBMAX +dr,480,277,10.90,180413
TT LBCS +dr,480,277,12.08,179633
TT2 CP,480,241,16.03,1246458
TT2 LBCC,480,236,19.44,916361
TT2 LBIP0,480,241,16.29,1245812
TT2 LBMAX,480,241,16.21,1246458
TT2 LBMAX +dom,480,301,21.10,1205343
TT2 LBCS,480,240,17.98,1150488
TT2 LBCS +dom,480,299,22.10,1109477
TT2 LBER (d3),480,242,14.83,1369588
