group,exam,time,finished,makespan,expand_number,generated_number,depth,PetriType,SetType,Heuristic,dominance_pruned,dominance_pop_pruned,ub_pruned
7,6,300,False,0,2899921,15185301,0,TT,j90,LBMAX_DP,1535987,15770397,224900,454
7,7,48.6276,True,90,1814061,4055514,93,TT,j90,LBMAX_DP,494911,12039848,7707,0
7,8,97.8785,True,60,628863,5738788,93,TT,j90,LBMAX_DP,581289,2702891,37166,328
7,9,300,False,0,1626672,19221148,0,TT,j90,LBMAX_DP,977088,6651088,942627,17556
7,10,7.45507,True,98,83831,502120,93,TT,j90,LBMAX_DP,48784,383909,1414,420
8,1,63.0047,True,96,1767067,4860973,93,TT,j90,LBMAX_DP,873105,11868134,5180,0
8,2,300,False,0,4802246,20148166,0,TT,j90,LBMAX_DP,5014901,41184546,241081,0
8,3,300,False,0,4961331,18216923,0,TT,j90,LBMAX_DP,2530724,46198252,128,0
8,4,300,False,0,2622366,18579408,0,TT,j90,LBMAX_DP,2432196,21583069,113895,0
8,5,300,False,0,2858290,16376002,0,TT,j90,LBMAX_DP,3217785,24803796,48,0
8,6,300,False,0,3802680,18764557,0,TT,j90,LBMAX_DP,1943571,37054427,1832,17
8,7,300,False,0,7044909,20005496,0,TT,j90,LBMAX_DP,5589171,60391054,0,0
8,8,165.99,True,68,1349535,9809583,93,TT,j90,LBMAX_DP,889399,13045936,576,0
8,9,22.479,True,97,430823,1678419,93,TT,j90,LBMAX_DP,153045,2612326,4591,0
8,10,300,False,0,6193009,11890508,0,TT,j90,LBMAX_DP,1935637,47176886,18649,10725
9,1,300,False,0,980919,15338595,0,TT,j90,LBMAX_DP,669956,799896,116050,0
9,2,300,False,0,924596,17328643,0,TT,j90,LBMAX_DP,784258,1185925,190442,0
9,3,300,False,0,969314,17058367,0,TT,j90,LBMAX_DP,753894,920282,185520,0
9,4,300,False,0,1078087,15768770,0,TT,j90,LBMAX_DP,585235,720863,156650,0
9,5,300,False,0,1097050,16634645,0,TT,j90,LBMAX_DP,1790103,573277,123458,0
9,6,300,False,0,1096192,15690285,0,TT,j90,LBMAX_DP,917987,889417,32282,0
9,7,300,False,0,1033799,18119750,0,TT,j90,LBMAX_DP,1381435,675270,75625,0
9,8,300,False,0,1243314,16388652,0,TT,j90,LBMAX_DP,1523572,1370927,126674,0
9,9,300,False,0,1093413,16873341,0,TT,j90,LBMAX_DP,620091,669710,194027,0
9,10,300,False,0,964642,15033462,0,TT,j90,LBMAX_DP,727821,710225,157954,0
10,1,300,False,0,1217941,18378186,0,TT,j90,LBMAX_DP,2008884,1455087,1212212,576
10,2,300,False,0,1583017,19300403,0,TT,j90,LBMAX_DP,3234768,2131969,279954,68
10,3,300.001,False,0,865648,6061407,0,TT,j90,LBMAX_DP,542331,803920,45109,614
10,4,300,False,0,926136,11626990,0,TT,j90,LBMAX_DP,642825,1349857,9293,2
10,5,300,False,0,1809187,17373220,0,TT,j90,LBMAX_DP,2725937,4808954,37774,10
10,6,300,False,0,1126065,8444074,0,TT,j90,LBMAX_DP,705474,1793554,72981,2037
10,7,300,False,0,1074038,10224307,0,TT,j90,LBMAX_DP,759681,1630577,29554,427
10,8,300,False,0,1023858,11752996,0,TT,j90,LBMAX_DP,668829,1089994,32034,8
10,9,300.002,False,0,501485,4652684,0,TT,j90,LBMAX_DP,301546,419068,25624,68
10,10,300,False,0,969300,10434067,0,TT,j90,LBMAX_DP,957953,1234790,16803,0
11,1,300.001,False,0,780005,3936254,0,TT,j90,LBMAX_DP,346130,1112954,6396,0
11,2,4.24881,True,99,29891,260756,93,TT,j90,LBMAX_DP,16928,45445,379,4
11,3,7.06162,True,69,58175,529343,93,TT,j90,LBMAX_DP,116493,78158,2556,0
11,4,1.75647,True,64,10817,114052,93,TT,j90,LBMAX_DP,14612,14098,0,0
11,5,16.6915,True,81,196231,989316,93,TT,j90,LBMAX_DP,85937,666121,359,615
11,6,300,False,0,1076593,12288937,0,TT,j90,LBMAX_DP,1482628,1618339,11480,0
11,7,300,False,0,4153205,13192456,0,TT,j90,LBMAX_DP,2395446,31600491,155513,295
11,8,300.005,False,0,554606,5419786,0,TT,j90,LBMAX_DP,572938,736451,1330,14
11,9,300,False,0,2685483,19364750,0,TT,j90,LBMAX_DP,1954289,14136195,137613,110
11,10,300,False,0,1244895,13184089,0,TT,j90,LBMAX_DP,1156117,2078589,83298,124
12,1,300,False,0,5595924,15009157,0,TT,j90,LBMAX_DP,1731474,52881624,0,0
12,2,300,False,0,4447938,16284238,0,TT,j90,LBMAX_DP,4207599,54997993,0,0
12,3,4.18153,True,93,64058,257358,93,TT,j90,LBMAX_DP,41373,466539,4,0
12,4,300,False,0,2442517,16479288,0,TT,j90,LBMAX_DP,1716272,19724997,2,0
12,5,92.551,True,83,2666565,5346576,93,TT,j90,LBMAX_DP,812076,22101727,2,0
12,6,300,False,0,5785900,15110177,0,TT,j90,LBMAX_DP,1812852,52249862,0,0
12,7,109.466,True,77,2657753,5821788,93,TT,j90,LBMAX_DP,2226978,30700071,0,0
12,8,300,False,0,6341555,18319919,0,TT,j90,LBMAX_DP,1962768,55934338,0,0
12,9,300,False,0,4572665,16168868,0,TT,j90,LBMAX_DP,1174482,57110341,16,0
12,10,300,False,0,3420956,16556313,0,TT,j90,LBMAX_DP,6835989,26272251,42518,0
13,1,300,False,0,967295,17109081,0,TT,j90,LBMAX_DP,506465,230075,61470,0
13,2,300,False,0,914866,12194497,0,TT,j90,LBMAX_DP,635966,324891,953,0
13,3,300,False,0,954975,17015995,0,TT,j90,LBMAX_DP,611523,299876,32279,0
13,4,300,False,0,920067,14624360,0,TT,j90,LBMAX_DP,901702,294783,62198,0
13,5,300,False,0,863438,13324099,0,TT,j90,LBMAX_DP,587963,370327,32450,0
13,6,300,False,0,895294,16145015,0,TT,j90,LBMAX_DP,658719,423992,16420,0
13,7,300.001,False,0,800620,14824235,0,TT,j90,LBMAX_DP,414889,240913,27670,0
13,8,300,False,0,918166,15583737,0,TT,j90,LBMAX_DP,571838,307495,8978,0
13,9,300,False,0,870119,14193976,0,TT,j90,LBMAX_DP,650955,134029,61959,0
13,10,300,False,0,1002285,16486520,0,TT,j90,LBMAX_DP,627373,358023,55381,0
14,1,300,False,0,1222914,16645851,0,TT,j90,LBMAX_DP,1045037,616806,13448,0
14,2,300.002,False,0,752195,9394705,0,TT,j90,LBMAX_DP,468446,371821,18790,0
14,3,300,False,0,1227934,14656599,0,TT,j90,LBMAX_DP,870391,956103,89107,37
14,4,300,False,0,907557,11572611,0,TT,j90,LBMAX_DP,498927,326684,1229,0
14,5,300,False,0,1143094,13119027,0,TT,j90,LBMAX_DP,1118657,1655832,13830,0
14,6,301.087,False,0,1140310,12201129,0,TT,j90,LBMAX_DP,1236991,810084,83438,1440
14,7,300,False,0,642324,5541183,0,TT,j90,LBMAX_DP,491897,788311,6301,16
14,8,300,False,0,1042320,12070529,0,TT,j90,LBMAX_DP,1490553,510292,62885,0
14,9,300,False,0,969977,13988896,0,TT,j90,LBMAX_DP,983094,370090,26796,285
14,10,300,False,0,1256392,17836136,0,TT,j90,LBMAX_DP,1704041,856050,40554,1
15,1,300.001,False,0,548439,6634868,0,TT,j90,LBMAX_DP,682754,475431,16536,58
15,2,300.001,False,0,925887,8243130,0,TT,j90,LBMAX_DP,747599,2758157,11505,240
15,3,300.001,False,0,849261,9537858,0,TT,j90,LBMAX_DP,657126,855949,264237,2789
15,4,6.42841,True,92,71114,379757,93,TT,j90,LBMAX_DP,45126,294598,302,0
15,5,300,False,0,1104883,8487199,0,TT,j90,LBMAX_DP,909085,1383297,61365,142
15,6,300,False,0,866500,10059948,0,TT,j90,LBMAX_DP,714327,562075,3444,1
15,7,300,False,0,1218765,11731716,0,TT,j90,LBMAX_DP,1269735,2185707,10042,21
15,8,300,False,0,706832,3812141,0,TT,j90,LBMAX_DP,366505,1514046,989,0
15,9,300.001,False,0,651362,8142036,0,TT,j90,LBMAX_DP,521638,495901,5562,0
15,10,300,False,0,1039362,12621119,0,TT,j90,LBMAX_DP,2111479,1315478,661,0
16,1,300,False,0,4907721,14931596,0,TT,j90,LBMAX_DP,3928575,42452863,27,0
16,2,300,False,0,4179593,14799737,0,TT,j90,LBMAX_DP,412967,41027333,0,0
16,3,4.04537,True,73,28831,207071,93,TT,j90,LBMAX_DP,32541,183549,0,0
16,4,5.85107,True,69,66932,370661,93,TT,j90,LBMAX_DP,54769,362549,2,0
16,5,300,False,0,2824487,16370918,0,TT,j90,LBMAX_DP,4931932,21010183,10056,0
16,6,300,False,0,2782346,15738486,0,TT,j90,LBMAX_DP,1726871,23884289,1,0
16,7,62.2407,True,65,873750,3332460,93,TT,j90,LBMAX_DP,965204,6707832,7,0
16,8,300,False,0,5887649,16317519,0,TT,j90,LBMAX_DP,3233199,55996316,0,0
16,9,300,False,0,1183227,8400767,0,TT,j90,LBMAX_DP,1090751,4692349,4022,0
16,10,300,False,0,4438231,16058388,0,TT,j90,LBMAX_DP,1914433,42189310,0,0
17,1,300,False,0,1910200,20031518,0,TT,j90,LBMAX_DP,2185944,4420305,240190,0
17,2,300,False,0,2127012,21529177,0,TT,j90,LBMAX_DP,1079473,9181788,1814538,1665
17,3,300,False,0,1589140,18566660,0,TT,j90,LBMAX_DP,1038634,4045636,382726,1110
17,4,300,False,0,3121689,16682584,0,TT,j90,LBMAX_DP,2182741,10377965,289020,0
17,5,74.068,True,113,720487,4417481,93,TT,j90,LBMAX_DP,464627,2220440,216420,29896
17,6,300,False,0,2183297,19545572,0,TT,j90,LBMAX_DP,1059230,6210857,508853,11526
17,7,300,False,0,2349412,18802105,0,TT,j90,LBMAX_DP,3242954,8617779,245090,194
17,8,300,False,0,4172302,27562061,0,TT,j90,LBMAX_DP,4817986,15817064,1185114,2
17,9,300,False,0,3051814,18643700,0,TT,j90,LBMAX_DP,2297504,11820460,1235296,0
17,10,300,False,0,2051155,17015214,0,TT,j90,LBMAX_DP,2427516,4618274,732441,0
18,1,300,False,0,5575665,24927443,0,TT,j90,LBMAX_DP,3758643,22404764,2383163,1280
18,2,85.6089,True,94,1135862,6470980,93,TT,j90,LBMAX_DP,760268,3809386,45799,0
18,3,300,False,0,2731453,21195886,0,TT,j90,LBMAX_DP,3505517,17688089,244228,3968
18,4,179.512,True,98,3213422,13410861,93,TT,j90,LBMAX_DP,2623495,22008652,1145074,0
