group,exam,time,finished,makespan,expand_number,generated_number,depth,PetriType,SetType,Heuristic,dominance_pruned,dominance_pop_pruned,ub_pruned
8,2,0.000903114,True,51,33,159,33,TT,j30,LBIP0_DP,0,0,0,0
8,3,0.00248858,True,53,145,672,33,TT,j30,LBIP0_DP,0,0,0,0
8,4,0.000953652,True,48,33,176,33,TT,j30,LBIP0_DP,0,0,0,0
8,5,0.000842966,True,58,33,136,33,TT,j30,LBIP0_DP,0,0,0,0
8,6,0.0011118,True,47,43,189,33,TT,j30,LBIP0_DP,0,0,0,0
8,7,0.00123762,True,41,35,162,33,TT,j30,LBIP0_DP,0,0,0,0
8,8,0.00127276,True,51,34,156,33,TT,j30,LBIP0_DP,0,0,0,0
8,9,0.00157298,True,39,33,187,33,TT,j30,LBIP0_DP,0,0,0,0
8,10,0.00125907,True,67,33,129,33,TT,j30,LBIP0_DP,0,0,0,0
9,1,300,False,0,8938931,57159779,0,TT,j30,LBIP0_DP,0,0,0,0
9,2,300,False,0,10969608,59520565,0,TT,j30,LBIP0_DP,0,0,0,0
9,3,301.907,False,0,11058111,60523506,0,TT,j30,LBIP0_DP,0,0,0,0
9,4,304.216,False,0,10320340,64345220,0,TT,j30,LBIP0_DP,0,0,0,0
9,5,300,False,0,12319580,60983927,0,TT,j30,LBIP0_DP,0,0,0,0
9,6,300,False,0,11707774,66357447,0,TT,j30,LBIP0_DP,0,0,0,0
9,7,307.824,False,0,10533378,63486284,0,TT,j30,LBIP0_DP,0,0,0,0
9,8,300,False,0,11619442,61380422,0,TT,j30,LBIP0_DP,0,0,0,0
9,9,300,False,0,11655718,60838821,0,TT,j30,LBIP0_DP,0,0,0,0
9,10,301.294,False,0,9383311,58879843,0,TT,j30,LBIP0_DP,0,0,0,0
10,1,64.114,True,42,2714937,15850218,33,TT,j30,LBIP0_DP,0,0,0,0
10,2,73.8525,True,56,4196975,15931277,33,TT,j30,LBIP0_DP,0,0,0,0
10,3,300,False,0,14673444,68178099,0,TT,j30,LBIP0_DP,0,0,0,0
10,4,45.2612,True,58,2329338,10389959,33,TT,j30,LBIP0_DP,0,0,0,0
10,5,127.315,True,41,5070794,28155541,33,TT,j30,LBIP0_DP,0,0,0,0
10,6,300,False,0,12530380,63945792,0,TT,j30,LBIP0_DP,0,0,0,0
10,7,8.02209,True,49,327134,1841049,33,TT,j30,LBIP0_DP,0,0,0,0
10,8,300,False,0,12471583,64827442,0,TT,j30,LBIP0_DP,0,0,0,0
10,9,0.00172875,True,49,71,342,33,TT,j30,LBIP0_DP,0,0,0,0
10,10,300,False,0,11285696,64779079,0,TT,j30,LBIP0_DP,0,0,0,0
11,1,0.152897,True,54,7562,34018,33,TT,j30,LBIP0_DP,0,0,0,0
11,2,0.00530088,True,56,286,841,33,TT,j30,LBIP0_DP,0,0,0,0
11,3,0.000959626,True,81,33,128,33,TT,j30,LBIP0_DP,0,0,0,0
11,4,286.12,True,63,14494143,64928299,33,TT,j30,LBIP0_DP,0,0,0,0
11,5,8.64533,True,49,351736,2161421,33,TT,j30,LBIP0_DP,0,0,0,0
11,6,0.00269633,True,44,55,211,33,TT,j30,LBIP0_DP,0,0,0,0
11,7,29.1869,True,36,1226447,7242404,33,TT,j30,LBIP0_DP,0,0,0,0
11,8,1.61001,True,62,119622,457893,33,TT,j30,LBIP0_DP,0,0,0,0
11,9,0.00080642,True,67,33,138,33,TT,j30,LBIP0_DP,0,0,0,0
11,10,0.000977841,True,38,33,167,33,TT,j30,LBIP0_DP,0,0,0,0
12,1,0.00143135,True,47,35,154,33,TT,j30,LBIP0_DP,0,0,0,0
12,2,0.000938509,True,46,33,169,33,TT,j30,LBIP0_DP,0,0,0,0
12,3,0.00236292,True,37,102,403,33,TT,j30,LBIP0_DP,0,0,0,0
12,4,0.000803543,True,63,33,143,33,TT,j30,LBIP0_DP,0,0,0,0
12,5,0.0017078,True,47,33,173,33,TT,j30,LBIP0_DP,0,0,0,0
12,6,0.00117819,True,53,33,153,33,TT,j30,LBIP0_DP,0,0,0,0
12,7,0.00120187,True,55,33,155,33,TT,j30,LBIP0_DP,0,0,0,0
12,8,0.0014241,True,35,33,194,33,TT,j30,LBIP0_DP,0,0,0,0
12,9,0.000812845,True,52,33,131,33,TT,j30,LBIP0_DP,0,0,0,0
12,10,0.000953202,True,57,33,161,33,TT,j30,LBIP0_DP,0,0,0,0
13,1,300,False,0,7970069,52145612,0,TT,j30,LBIP0_DP,0,0,0,0
13,2,300,False,0,7337759,49545575,0,TT,j30,LBIP0_DP,0,0,0,0
13,3,300,False,0,8669262,52779991,0,TT,j30,LBIP0_DP,0,0,0,0
13,4,300,False,0,10068131,49840258,0,TT,j30,LBIP0_DP,0,0,0,0
13,5,300,False,0,7866394,51886175,0,TT,j30,LBIP0_DP,0,0,0,0
13,6,300,False,0,7360872,49537834,0,TT,j30,LBIP0_DP,0,0,0,0
13,7,300,False,0,8141029,51221667,0,TT,j30,LBIP0_DP,0,0,0,0
13,8,300,False,0,8274053,51977661,0,TT,j30,LBIP0_DP,0,0,0,0
13,9,300,False,0,8349602,49287852,0,TT,j30,LBIP0_DP,0,0,0,0
13,10,300,False,0,7769178,53272195,0,TT,j30,LBIP0_DP,0,0,0,0
14,1,196.538,True,50,10325856,37876875,33,TT,j30,LBIP0_DP,0,0,0,0
14,2,127.73,True,53,5087805,24908135,33,TT,j30,LBIP0_DP,0,0,0,0
14,3,216.254,True,58,8533167,42578895,33,TT,j30,LBIP0_DP,0,0,0,0
14,4,300,False,0,10873751,57835873,0,TT,j30,LBIP0_DP,0,0,0,0
