group,exam,time,finished,makespan,expand_number,generated_number,depth,PetriType,SetType,Heuristic,dominance_pruned,dominance_pop_pruned,ub_pruned
1,1,6.48612,True,77,157158,716057,63,TT,j60,LBMAX_DP,129668,396260,38293,6
1,2,300,False,0,2874602,24508146,0,TT,j60,LBMAX_DP,2159043,9398334,2034916,11711
1,3,13.8376,True,68,221799,1285137,63,TT,j60,LBMAX_DP,143438,553673,23158,20
1,4,300,False,0,5159198,26870516,0,TT,j60,LBMAX_DP,4410184,18952202,2095665,0
1,5,300,False,0,4037972,23545097,0,TT,j60,LBMAX_DP,2529973,12898972,1167188,11401
1,6,300,False,0,2647261,22898755,0,TT,j60,LBMAX_DP,1449339,5313464,1085669,0
1,7,300,False,0,3104363,25512728,0,TT,j60,LBMAX_DP,1930838,9367723,1082172,132400
1,8,300,False,0,3720560,23741698,0,TT,j60,LBMAX_DP,2668616,10985794,1377463,0
1,9,300,False,0,3812665,24732291,0,TT,j60,LBMAX_DP,4372072,10173502,1522442,848
1,10,300,False,0,6100405,23302891,0,TT,j60,LBMAX_DP,3592053,21469969,1371154,6836
2,1,4.81943,True,65,92007,517740,63,TT,j60,LBMAX_DP,40321,461957,1946,0
2,2,0.232917,True,82,5401,24786,63,TT,j60,LBMAX_DP,3258,21247,953,0
2,3,300,False,0,5229963,23890905,0,TT,j60,LBMAX_DP,2549787,20207183,2073618,2544
2,4,0.305434,True,78,5692,27996,63,TT,j60,LBMAX_DP,4149,16276,944,0
2,5,300,False,0,5177827,27557121,0,TT,j60,LBMAX_DP,5373653,25125802,1549890,25164
2,6,300,False,0,4166922,24054223,0,TT,j60,LBMAX_DP,3038512,21009190,357990,0
2,7,300,False,0,4172427,26548418,0,TT,j60,LBMAX_DP,2374810,24294837,490833,135046
2,8,18.8643,True,66,343305,1794525,63,TT,j60,LBMAX_DP,242148,1874146,35207,0
2,9,1.92382,True,65,29963,171614,63,TT,j60,LBMAX_DP,30872,156445,3009,0
2,10,86.4391,True,69,1142769,7925208,63,TT,j60,LBMAX_DP,650433,4946219,199782,1449
3,1,0.0578261,True,60,1007,5729,63,TT,j60,LBMAX_DP,1088,1949,81,0
3,2,34.9509,True,69,671759,3687862,63,TT,j60,LBMAX_DP,299623,2984678,175671,1391
3,3,300,False,0,9871012,28060134,0,TT,j60,LBMAX_DP,1043126,65043270,1948878,0
3,4,50.5866,True,81,1996958,5071388,63,TT,j60,LBMAX_DP,590383,12174013,279333,20
3,5,2.89772,True,83,76650,291709,63,TT,j60,LBMAX_DP,27369,403042,5372,0
3,6,2.07943,True,57,52860,237566,63,TT,j60,LBMAX_DP,30430,216740,3954,0
3,7,300,False,0,6677300,23796889,0,TT,j60,LBMAX_DP,3014712,30092637,599662,603
3,8,300,False,0,4317717,27424391,0,TT,j60,LBMAX_DP,3523491,17868980,1395959,1808
3,9,300,False,0,11596993,30952227,0,TT,j60,LBMAX_DP,5935725,66521758,4061799,2
3,10,81.851,True,69,1748550,8211332,63,TT,j60,LBMAX_DP,1079141,6308693,647672,236620
4,1,79.7298,True,84,2739564,7354131,63,TT,j60,LBMAX_DP,866986,22776256,138816,0
4,2,12.9605,True,60,427793,1377174,63,TT,j60,LBMAX_DP,176856,2537406,45041,604
4,3,300,False,0,14320171,26860161,0,TT,j60,LBMAX_DP,5415976,123929360,30728,0
4,4,0.092808,True,65,3774,11038,63,TT,j60,LBMAX_DP,1842,15090,24,0
4,5,0.0475363,True,75,1253,4241,63,TT,j60,LBMAX_DP,498,4434,0,0
4,6,3.10102,True,71,90120,278040,63,TT,j60,LBMAX_DP,49427,580932,2728,0
4,7,104.673,True,67,2612512,9019700,63,TT,j60,LBMAX_DP,3213139,19908993,236790,0
4,8,113.51,True,65,3558334,10341874,63,TT,j60,LBMAX_DP,1960346,28545709,334844,0
4,9,3.89649,True,75,243101,371001,63,TT,j60,LBMAX_DP,86763,1580833,13036,60
4,10,190.982,True,77,4140963,11215331,63,TT,j60,LBMAX_DP,1657697,18404108,481337,432
5,1,300,False,0,2217685,21276109,0,TT,j60,LBMAX_DP,1575654,3375569,1102094,14633
5,2,300,False,0,2749479,20853261,0,TT,j60,LBMAX_DP,1432505,5439181,1938827,196687
5,3,300,False,0,2070066,15337202,0,TT,j60,LBMAX_DP,1166640,3664947,702718,8720
5,4,300,False,0,1874662,19052999,0,TT,j60,LBMAX_DP,1169312,2431193,374555,0
5,5,300,False,0,1614321,11760659,0,TT,j60,LBMAX_DP,1003275,1473535,146337,0
5,6,300,False,0,1571549,16355533,0,TT,j60,LBMAX_DP,1152864,1757209,511436,1885
5,7,300,False,0,2066347,19259975,0,TT,j60,LBMAX_DP,1220043,2801185,152394,0
5,8,300,False,0,1571177,17656251,0,TT,j60,LBMAX_DP,667920,1972910,761268,312
5,9,300,False,0,2933876,22777714,0,TT,j60,LBMAX_DP,4119845,3884104,1096884,97
5,10,300,False,0,2035762,21485099,0,TT,j60,LBMAX_DP,1601545,3607466,237046,0
6,1,300.001,False,0,1728298,11513004,0,TT,j60,LBMAX_DP,1372468,3097153,202636,3948
6,2,300,False,0,3462991,20470270,0,TT,j60,LBMAX_DP,2822962,7176918,1027234,261244
6,3,300,False,0,1607235,11280682,0,TT,j60,LBMAX_DP,1053018,2273168,180262,1687
6,4,0.0781681,True,67,1159,8015,63,TT,j60,LBMAX_DP,933,910,25,0
6,5,232.192,True,78,1669624,11676399,63,TT,j60,LBMAX_DP,1507022,3706960,141821,540
6,6,300,False,0,1964710,18146460,0,TT,j60,LBMAX_DP,2947249,2866456,507549,46
6,7,300.001,False,0,1380478,9895655,0,TT,j60,LBMAX_DP,1111999,2236939,84928,49
6,8,9.03974,True,72,141261,776152,63,TT,j60,LBMAX_DP,75811,406635,5991,0
6,9,0.0877421,True,64,1399,9457,63,TT,j60,LBMAX_DP,661,1848,6,0
6,10,2.60644,True,74,43405,210649,63,TT,j60,LBMAX_DP,19758,116586,3464,0
7,1,300,False,0,4607862,15915451,0,TT,j60,LBMAX_DP,2154177,20567159,150980,5057
7,2,0.277578,True,85,10576,27311,63,TT,j60,LBMAX_DP,4387,52247,150,0
7,3,300.002,False,0,1027410,3850960,0,TT,j60,LBMAX_DP,368153,2132942,32494,1181
7,4,30.104,True,63,404472,2025276,63,TT,j60,LBMAX_DP,172768,1146241,11691,26
