group,exam,time,finished,makespan,expand_number,generated_number,depth,PetriType,SetType,Heuristic,dominance_pruned,dominance_pop_pruned,ub_pruned
7,10,7.78323,True,98,83831,502120,93,TT,j90,CP_DP,48784,383909,1414,420
8,1,65.4272,True,96,1767067,4860973,93,TT,j90,CP_DP,873105,11868134,5180,0
8,2,300,False,0,4586155,19291168,0,TT,j90,CP_DP,4842911,39156155,241081,0
8,3,300,False,0,4702424,17418403,0,TT,j90,CP_DP,2386521,43644075,128,0
8,4,300,False,0,2542163,17855935,0,TT,j90,CP_DP,2315839,21067528,102183,0
8,5,300,False,0,2746744,15724647,0,TT,j90,CP_DP,3083522,23844381,48,0
8,6,300,False,0,3598255,17841816,0,TT,j90,CP_DP,1843709,34924357,1832,17
8,7,300,False,0,6788240,19226816,0,TT,j90,CP_DP,5400844,58045669,0,0
8,8,172.855,True,68,1349535,9809583,93,TT,j90,CP_DP,889399,13045936,576,0
8,9,23.5168,True,97,430823,1678419,93,TT,j90,CP_DP,153045,2612326,4591,0
8,10,300,False,0,6056841,11251129,0,TT,j90,CP_DP,1878800,46302697,18026,10725
9,1,300,False,0,950392,16300875,0,TT,j90,CP_DP,673968,598353,501036,439
9,2,300,False,0,763527,12588477,0,TT,j90,CP_DP,452735,549482,84631,259
9,3,300,False,0,1215062,16051521,0,TT,j90,CP_DP,1133971,1433657,513317,1424
9,4,300,False,0,1041394,16099738,0,TT,j90,CP_DP,1212991,724658,687992,3923
9,5,300,False,0,1049365,16177634,0,TT,j90,CP_DP,1255696,823726,126553,0
9,6,300,False,0,1118886,16036515,0,TT,j90,CP_DP,1283269,1067843,102243,314
9,7,300,False,0,900107,15460983,0,TT,j90,CP_DP,988116,456859,310551,238
9,8,300,False,0,1209992,16372515,0,TT,j90,CP_DP,1167669,1386308,613945,1
9,9,300,False,0,988580,16882205,0,TT,j90,CP_DP,756873,564361,294665,30516
9,10,300,False,0,908995,12825551,0,TT,j90,CP_DP,475863,561671,284367,1393
10,1,300,False,0,1184541,17914050,0,TT,j90,CP_DP,1952038,1420515,1192176,540
10,2,300,False,0,1532313,18722777,0,TT,j90,CP_DP,3098126,2063651,278242,68
10,3,300,False,0,890883,6223480,0,TT,j90,CP_DP,553762,828699,45541,625
10,4,300,False,0,914254,11479147,0,TT,j90,CP_DP,633757,1336103,9293,2
10,5,300,False,0,1762553,16932074,0,TT,j90,CP_DP,2658854,4715462,36475,10
10,6,300,False,0,1116673,8376772,0,TT,j90,CP_DP,700090,1777371,72656,2037
10,7,300,False,0,1067852,10165751,0,TT,j90,CP_DP,754381,1621698,29487,427
10,8,300,False,0,1011698,11621025,0,TT,j90,CP_DP,658944,1071575,31665,8
10,9,300.003,False,0,495660,4598168,0,TT,j90,CP_DP,298734,416169,24164,68
10,10,300,False,0,956236,10296829,0,TT,j90,CP_DP,942088,1225959,16276,0
11,1,300,False,0,777113,3928720,0,TT,j90,CP_DP,345318,1109170,6396,0
11,2,4.52892,True,99,29891,260756,93,TT,j90,CP_DP,16928,45445,379,4
11,3,7.44637,True,69,58175,529343,93,TT,j90,CP_DP,116493,78158,2556,0
11,4,1.85149,True,64,10817,114052,93,TT,j90,CP_DP,14612,14098,0,0
11,5,17.9581,True,81,196231,989316,93,TT,j90,CP_DP,85937,666121,359,615
11,6,300,False,0,1062994,12133167,0,TT,j90,CP_DP,1468604,1595081,11474,0
11,7,300,False,0,4102904,12990757,0,TT,j90,CP_DP,2351940,31417798,155443,294
11,8,300.001,False,0,550802,5379629,0,TT,j90,CP_DP,570456,732493,1323,14
11,9,300,False,0,2590065,18776349,0,TT,j90,CP_DP,1879820,13643275,131121,108
11,10,300,False,0,1215347,12884420,0,TT,j90,CP_DP,1138181,2030390,82599,124
12,1,300,False,0,5397170,14499920,0,TT,j90,CP_DP,1670116,50645042,0,0
12,2,300,False,0,4307473,15752336,0,TT,j90,CP_DP,4070378,53337453,0,0
12,3,4.43612,True,93,64058,257358,93,TT,j90,CP_DP,41373,466539,4,0
12,4,300,False,0,2373033,16016610,0,TT,j90,CP_DP,1680815,19214021,2,0
12,5,96.8798,True,83,2666565,5346576,93,TT,j90,CP_DP,812076,22101727,2,0
12,6,300,False,0,5461323,14226486,0,TT,j90,CP_DP,1678624,48732791,0,0
12,7,113.907,True,77,2657753,5821788,93,TT,j90,CP_DP,2226978,30700071,0,0
12,8,300,False,0,6068598,17607955,0,TT,j90,CP_DP,1904743,53494719,0,0
12,9,300,False,0,4426750,15618784,0,TT,j90,CP_DP,1135902,55207584,16,0
12,10,300,False,0,3254484,15796432,0,TT,j90,CP_DP,6533218,24879470,41926,0
13,1,300,False,0,942408,12591760,0,TT,j90,CP_DP,465713,169858,131871,0
13,2,300,False,0,893770,13884272,0,TT,j90,CP_DP,494944,310411,5669,3
13,3,300,False,0,854932,12329663,0,TT,j90,CP_DP,666637,344083,185374,16
13,4,300,False,0,865433,13917794,0,TT,j90,CP_DP,663240,286695,14376,5
