group,exam,time,finished,makespan,expand_number,generated_number,depth,PetriType,SetType,Heuristic,dominance_pruned,dominance_pop_pruned,ub_pruned
1,1,300,False,0,1115917,20428008,0,TT,j90,LBCC_DP,0,0,0,0
1,2,300,False,0,954137,14037864,0,TT,j90,LBCC_DP,0,0,0,0
1,3,300,False,0,821954,15590269,0,TT,j90,LBCC_DP,0,0,0,0
1,4,301.019,False,0,1371679,21953856,0,TT,j90,LBCC_DP,0,0,0,0
1,5,300,False,0,1115230,17281225,0,TT,j90,LBCC_DP,0,0,0,0
1,6,300,False,0,911197,14302317,0,TT,j90,LBCC_DP,0,0,0,0
1,7,300,False,0,1253279,18444068,0,TT,j90,LBCC_DP,0,0,0,0
1,8,300,False,0,782294,15178583,0,TT,j90,LBCC_DP,0,0,0,0
1,9,300,False,0,867979,16544253,0,TT,j90,LBCC_DP,0,0,0,0
1,10,300,False,0,1717208,22167192,0,TT,j90,LBCC_DP,0,0,0,0
2,1,0.0230372,True,96,93,1243,93,TT,j90,LBCC_DP,0,0,0,0
2,2,0.0194838,True,114,93,975,93,TT,j90,LBCC_DP,0,0,0,0
2,3,300,False,0,8006042,58236616,0,TT,j90,LBCC_DP,0,0,0,0
2,4,0.0195284,True,70,93,1130,93,TT,j90,LBCC_DP,0,0,0,0
2,5,300,False,0,11000498,56307747,0,TT,j90,LBCC_DP,0,0,0,0
2,6,300,False,0,3858123,40885401,0,TT,j90,LBCC_DP,0,0,0,0
2,7,0.804175,True,92,101,1176,93,TT,j90,LBCC_DP,0,0,0,0
2,8,0.0223644,True,82,93,1195,93,TT,j90,LBCC_DP,0,0,0,0
2,9,0.101568,True,79,2226,16187,93,TT,j90,LBCC_DP,0,0,0,0
2,10,4.72679,True,80,53036,529398,93,TT,j90,LBCC_DP,0,0,0,0
3,1,300,False,0,6866713,48903201,0,TT,j90,LBCC_DP,0,0,0,0
3,2,0.565382,True,84,93,989,93,TT,j90,LBCC_DP,0,0,0,0
3,3,0.0232741,True,71,93,1025,93,TT,j90,LBCC_DP,0,0,0,0
3,4,0.0206126,True,104,93,1139,93,TT,j90,LBCC_DP,0,0,0,0
3,5,0.0247152,True,75,93,1247,93,TT,j90,LBCC_DP,0,0,0,0
3,6,271.123,True,68,2462665,28623452,93,TT,j90,LBCC_DP,0,0,0,0
3,7,0.0204697,True,87,93,1119,93,TT,j90,LBCC_DP,0,0,0,0
3,8,0.02099,True,86,93,1052,93,TT,j90,LBCC_DP,0,0,0,0
3,9,0.022397,True,61,93,1230,93,TT,j90,LBCC_DP,0,0,0,0
3,10,0.0284856,True,65,150,1863,93,TT,j90,LBCC_DP,0,0,0,0
4,1,0.0216863,True,93,93,1210,93,TT,j90,LBCC_DP,0,0,0,0
4,2,0.0194087,True,89,93,1044,93,TT,j90,LBCC_DP,0,0,0,0
4,3,0.0225693,True,67,93,1157,93,TT,j90,LBCC_DP,0,0,0,0
4,4,0.0212219,True,92,96,1118,93,TT,j90,LBCC_DP,0,0,0,0
4,5,0.0210771,True,88,93,1115,93,TT,j90,LBCC_DP,0,0,0,0
4,6,0.0218147,True,78,93,1156,93,TT,j90,LBCC_DP,0,0,0,0
4,7,0.0192197,True,80,93,1073,93,TT,j90,LBCC_DP,0,0,0,0
4,8,0.0230643,True,69,93,1237,93,TT,j90,LBCC_DP,0,0,0,0
4,9,0.0223138,True,79,93,1171,93,TT,j90,LBCC_DP,0,0,0,0
4,10,0.0226154,True,68,93,1223,93,TT,j90,LBCC_DP,0,0,0,0
5,1,300,False,0,822315,15082452,0,TT,j90,LBCC_DP,0,0,0,0
5,2,300,False,0,1266832,20714106,0,TT,j90,LBCC_DP,0,0,0,0
5,3,300,False,0,1431833,20712041,0,TT,j90,LBCC_DP,0,0,0,0
5,4,300,False,0,715199,11591076,0,TT,j90,LBCC_DP,0,0,0,0
5,5,300,False,0,1264159,16107639,0,TT,j90,LBCC_DP,0,0,0,0
5,6,300,False,0,641171,11530246,0,TT,j90,LBCC_DP,0,0,0,0
5,7,300,False,0,1259882,17408180,0,TT,j90,LBCC_DP,0,0,0,0
5,8,300,False,0,889004,13564874,0,TT,j90,LBCC_DP,0,0,0,0
5,9,300,False,0,842883,11452579,0,TT,j90,LBCC_DP,0,0,0,0
5,10,300,False,0,1130600,14741295,0,TT,j90,LBCC_DP,0,0,0,0
6,1,300,False,0,1104398,17017498,0,TT,j90,LBCC_DP,0,0,0,0
6,2,106.665,True,86,3033678,16489373,93,TT,j90,LBCC_DP,0,0,0,0
6,3,300,False,0,987597,15506399,0,TT,j90,LBCC_DP,0,0,0,0
6,4,300,False,0,1441284,23789992,0,TT,j90,LBCC_DP,0,0,0,0
6,5,300,False,0,1423185,22518019,0,TT,j90,LBCC_DP,0,0,0,0
6,6,300,False,0,4263277,31839365,0,TT,j90,LBCC_DP,0,0,0,0
6,7,300,False,0,1784684,20555444,0,TT,j90,LBCC_DP,0,0,0,0
6,8,300,False,0,1523200,21496169,0,TT,j90,LBCC_DP,0,0,0,0
6,9,300,False,0,2251443,28612634,0,TT,j90,LBCC_DP,0,0,0,0
6,10,300,False,0,1801620,24457134,0,TT,j90,LBCC_DP,0,0,0,0
7,1,0.0521657,True,88,221,2848,93,TT,j90,LBCC_DP,0,0,0,0
7,2,0.0424265,True,77,125,1730,93,TT,j90,LBCC_DP,0,0,0,0
7,3,300,False,0,5230003,39746832,0,TT,j90,LBCC_DP,0,0,0,0
7,4,0.031635,True,86,95,1097,93,TT,j90,LBCC_DP,0,0,0,0
7,5,0.463581,True,79,4934,33538,93,TT,j90,LBCC_DP,0,0,0,0
7,6,0.0344098,True,90,93,1178,93,TT,j90,LBCC_DP,0,0,0,0
7,7,0.037162,True,90,93,1138,93,TT,j90,LBCC_DP,0,0,0,0
7,8,65.103,True,60,553219,5600294,93,TT,j90,LBCC_DP,0,0,0,0
7,9,300,False,0,955665,14127105,0,TT,j90,LBCC_DP,0,0,0,0
7,10,53.4765,True,98,1081005,7267340,93,TT,j90,LBCC_DP,0,0,0,0
8,1,0.0402419,True,96,93,1393,93,TT,j90,LBCC_DP,0,0,0,0
8,2,0.0308809,True,78,93,1099,93,TT,j90,LBCC_DP,0,0,0,0
8,3,0.0272361,True,70,93,1227,93,TT,j90,LBCC_DP,0,0,0,0
8,4,0.0259818,True,77,93,1173,93,TT,j90,LBCC_DP,0,0,0,0
8,5,0.0270473,True,63,93,1170,93,TT,j90,LBCC_DP,0,0,0,0
8,6,0.0279999,True,70,93,1284,93,TT,j90,LBCC_DP,0,0,0,0
8,7,0.702861,True,77,194,2018,93,TT,j90,LBCC_DP,0,0,0,0
8,8,0.0253292,True,68,93,1158,93,TT,j90,LBCC_DP,0,0,0,0
8,9,0.0225208,True,97,93,1067,93,TT,j90,LBCC_DP,0,0,0,0
8,10,0.0231002,True,88,93,1136,93,TT,j90,LBCC_DP,0,0,0,0
9,1,300,False,0,863248,12281916,0,TT,j90,LBCC_DP,0,0,0,0
9,2,300,False,0,772927,10003725,0,TT,j90,LBCC_DP,0,0,0,0
9,3,300,False,0,810696,11240922,0,TT,j90,LBCC_DP,0,0,0,0
9,4,300.555,False,0,878658,9087819,0,TT,j90,LBCC_DP,0,0,0,0
9,5,300,False,0,790168,8937114,0,TT,j90,LBCC_DP,0,0,0,0
9,6,300,False,0,818145,12092896,0,TT,j90,LBCC_DP,0,0,0,0
9,7,300,False,0,655330,10240155,0,TT,j90,LBCC_DP,0,0,0,0
9,8,300,False,0,1092437,14065832,0,TT,j90,LBCC_DP,0,0,0,0
9,9,300,False,0,690449,10246677,0,TT,j90,LBCC_DP,0,0,0,0
9,10,300,False,0,928543,11493008,0,TT,j90,LBCC_DP,0,0,0,0
10,1,300,False,0,1542528,17801292,0,TT,j90,LBCC_DP,0,0,0,0
10,2,300,False,0,1936234,20570459,0,TT,j90,LBCC_DP,0,0,0,0
10,3,300,False,0,2349139,22087929,0,TT,j90,LBCC_DP,0,0,0,0
10,4,0.106778,True,94,297,4450,93,TT,j90,LBCC_DP,0,0,0,0
10,5,300,False,0,1167881,17218081,0,TT,j90,LBCC_DP,0,0,0,0
10,6,300,False,0,1486121,21660341,0,TT,j90,LBCC_DP,0,0,0,0
10,7,300,False,0,3144744,22588957,0,TT,j90,LBCC_DP,0,0,0,0
10,8,300,False,0,847002,11926710,0,TT,j90,LBCC_DP,0,0,0,0
10,9,300,False,0,3776141,29699342,0,TT,j90,LBCC_DP,0,0,0,0
10,10,300,False,0,597060,11053032,0,TT,j90,LBCC_DP,0,0,0,0
11,1,0.0402912,True,86,93,1177,93,TT,j90,LBCC_DP,0,0,0,0
11,2,300,False,0,2370599,22679838,0,TT,j90,LBCC_DP,0,0,0,0
11,3,300,False,0,1486167,19305151,0,TT,j90,LBCC_DP,0,0,0,0
11,4,0.0985922,True,64,370,5107,93,TT,j90,LBCC_DP,0,0,0,0
11,5,0.460589,True,81,93,1140,93,TT,j90,LBCC_DP,0,0,0,0
11,6,0.140109,True,78,1331,11592,93,TT,j90,LBCC_DP,0,0,0,0
11,7,0.0265427,True,95,93,1080,93,TT,j90,LBCC_DP,0,0,0,0
11,8,300,False,0,2013424,22472615,0,TT,j90,LBCC_DP,0,0,0,0
11,9,0.0272598,True,81,93,1181,93,TT,j90,LBCC_DP,0,0,0,0
11,10,300,False,0,10488118,44615760,0,TT,j90,LBCC_DP,0,0,0,0
12,1,0.0299338,True,71,93,1209,93,TT,j90,LBCC_DP,0,0,0,0
12,2,0.0283113,True,71,93,1089,93,TT,j90,LBCC_DP,0,0,0,0
12,3,0.0287516,True,93,93,1029,93,TT,j90,LBCC_DP,0,0,0,0
12,4,0.0258501,True,73,93,1095,93,TT,j90,LBCC_DP,0,0,0,0
12,5,0.0341378,True,83,93,1147,93,TT,j90,LBCC_DP,0,0,0,0
12,6,0.0264197,True,81,93,1191,93,TT,j90,LBCC_DP,0,0,0,0
12,7,0.0251698,True,77,93,1037,93,TT,j90,LBCC_DP,0,0,0,0
12,8,0.0279225,True,83,93,1250,93,TT,j90,LBCC_DP,0,0,0,0
12,9,0.0294516,True,77,93,1149,93,TT,j90,LBCC_DP,0,0,0,0
12,10,0.0221198,True,86,93,1075,93,TT,j90,LBCC_DP,0,0,0,0
13,1,300,False,0,734744,10207018,0,TT,j90,LBCC_DP,0,0,0,0
13,2,300,False,0,952914,10717267,0,TT,j90,LBCC_DP,0,0,0,0
13,3,300,False,0,788155,11850546,0,TT,j90,LBCC_DP,0,0,0,0
13,4,300,False,0,719253,12241403,0,TT,j90,LBCC_DP,0,0,0,0
13,5,300.001,False,0,825199,11376870,0,TT,j90,LBCC_DP,0,0,0,0
13,6,300,False,0,943872,10812557,0,TT,j90,LBCC_DP,0,0,0,0
13,7,300,False,0,799853,10851202,0,TT,j90,LBCC_DP,0,0,0,0
13,8,300,False,0,689431,11473935,0,TT,j90,LBCC_DP,0,0,0,0
