group,exam,time,finished,makespan,expand_number,generated_number,depth,PetriType,SetType,Heuristic,dominance_pruned,dominance_pop_pruned,ub_pruned
7,8,0.127569,True,44,4686,18472,33,TT,j30,LBIP0_DP,1749,7877,14,31
7,9,2.96013,True,60,159101,255512,33,TT,j30,LBIP0_DP,44679,247835,8698,11591
7,10,59.2501,True,49,1393891,2218841,33,TT,j30,LBIP0_DP,552483,1876610,50329,312019
8,1,0.0156851,True,44,1496,2412,33,TT,j30,LBIP0_DP,679,4651,1,0
8,2,0.0164674,True,51,1314,2349,33,TT,j30,LBIP0_DP,356,4884,2,0
8,3,0.0893169,True,53,6069,11682,33,TT,j30,LBIP0_DP,1491,23564,0,0
8,4,0.0654269,True,48,4316,9268,33,TT,j30,LBIP0_DP,1994,10944,2,0
8,5,0.0138753,True,58,1022,2174,33,TT,j30,LBIP0_DP,283,2248,0,0
8,6,0.00624141,True,47,354,976,33,TT,j30,LBIP0_DP,118,764,0,0
8,7,0.00385422,True,41,200,545,33,TT,j30,LBIP0_DP,103,455,0,0
8,8,0.00670439,True,51,480,1065,33,TT,j30,LBIP0_DP,126,1124,0,0
8,9,0.0846915,True,39,3749,12916,33,TT,j30,LBIP0_DP,3006,10466,58,0
8,10,0.0498431,True,67,3622,7405,33,TT,j30,LBIP0_DP,1026,7703,0,0
9,1,300.001,False,0,1011028,5541481,0,TT,j30,LBIP0_DP,478275,417610,260085,1908
9,2,300,False,0,930789,4313213,0,TT,j30,LBIP0_DP,213709,694466,124445,3510
9,3,300.001,False,0,681011,3450007,0,TT,j30,LBIP0_DP,150530,228121,57593,1726
9,4,300.001,False,0,1065036,5437955,0,TT,j30,LBIP0_DP,452885,891131,293550,27064
9,5,300.001,False,0,986329,3905082,0,TT,j30,LBIP0_DP,415660,616913,214027,16363
9,6,300,False,0,968176,4827324,0,TT,j30,LBIP0_DP,339360,564825,340270,6333
9,7,300,False,0,580730,3209623,0,TT,j30,LBIP0_DP,195130,228053,115144,3970
9,8,300,False,0,1081278,4738054,0,TT,j30,LBIP0_DP,277868,893646,334831,4546
9,9,300.001,False,0,1098671,5046797,0,TT,j30,LBIP0_DP,375075,543979,211513,4569
9,10,300.001,False,0,703784,3938222,0,TT,j30,LBIP0_DP,218581,335056,104022,4089
10,1,85.5691,True,42,364345,1565090,33,TT,j30,LBIP0_DP,263111,344685,2162,409
10,2,10.6821,True,56,155965,484538,33,TT,j30,LBIP0_DP,50851,77954,36615,8059
10,3,300.001,False,0,580394,2178670,0,TT,j30,LBIP0_DP,163099,313582,20041,0
10,4,53.3453,True,58,243722,915237,33,TT,j30,LBIP0_DP,56864,147513,14818,65
10,5,300,False,0,720824,3508121,0,TT,j30,LBIP0_DP,263212,403087,8664,0
10,6,65.6703,True,44,552483,1973485,33,TT,j30,LBIP0_DP,256126,288116,164858,74788
10,7,1.07305,True,49,25179,111874,33,TT,j30,LBIP0_DP,9758,22063,992,236
10,8,300,False,0,1171111,3864339,0,TT,j30,LBIP0_DP,474008,754056,93480,177218
10,9,0.00469262,True,49,296,675,33,TT,j30,LBIP0_DP,89,538,0,0
10,10,34.3815,True,41,390277,1686456,33,TT,j30,LBIP0_DP,192852,442643,130077,15218
11,1,0.103315,True,54,3763,14076,33,TT,j30,LBIP0_DP,1161,1440,72,12
11,2,0.270284,True,56,9317,32570,33,TT,j30,LBIP0_DP,2060,6187,6,0
11,3,0.0245763,True,81,1590,3617,33,TT,j30,LBIP0_DP,508,2362,0,0
11,4,13.0443,True,63,253299,657881,33,TT,j30,LBIP0_DP,72702,260650,40334,42783
11,5,0.605308,True,49,18651,80297,33,TT,j30,LBIP0_DP,14623,25237,1952,47
11,6,0.0797059,True,44,2480,11063,33,TT,j30,LBIP0_DP,803,2870,3,0
11,7,5.21495,True,36,75122,324239,33,TT,j30,LBIP0_DP,28786,55788,4871,1896
11,8,8.16867,True,62,213572,808939,33,TT,j30,LBIP0_DP,129159,228425,8231,0
11,9,0.00700497,True,67,455,927,33,TT,j30,LBIP0_DP,165,839,0,0
11,10,0.00276375,True,38,115,378,33,TT,j30,LBIP0_DP,36,219,0,0
12,1,0.00212363,True,47,76,290,33,TT,j30,LBIP0_DP,40,40,0,0
12,2,0.020259,True,46,638,2861,33,TT,j30,LBIP0_DP,316,822,2,0
12,3,0.0106583,True,37,470,1478,33,TT,j30,LBIP0_DP,140,1071,0,0
12,4,0.0112487,True,63,730,1420,33,TT,j30,LBIP0_DP,236,1787,0,0
12,5,0.021548,True,47,1419,2653,33,TT,j30,LBIP0_DP,282,6642,0,0
12,6,0.00478065,True,53,198,645,33,TT,j30,LBIP0_DP,79,425,0,0
12,7,0.013216,True,55,905,1580,33,TT,j30,LBIP0_DP,513,3750,0,0
12,8,0.0420867,True,35,1284,5221,33,TT,j30,LBIP0_DP,1897,2891,0,0
12,9,0.00296832,True,52,132,367,33,TT,j30,LBIP0_DP,44,214,0,0
12,10,0.00547372,True,57,404,691,33,TT,j30,LBIP0_DP,79,1336,0,0
13,1,300,False,0,700294,4392417,0,TT,j30,LBIP0_DP,247295,194711,57632,4191
13,2,300.001,False,0,557702,3541156,0,TT,j30,LBIP0_DP,149699,128499,95965,4528
13,3,300.001,False,0,856006,4656303,0,TT,j30,LBIP0_DP,254292,294639,78465,3722
13,4,300.001,False,0,668152,3234088,0,TT,j30,LBIP0_DP,133868,131014,48030,1173
13,5,300.002,False,0,564994,3618990,0,TT,j30,LBIP0_DP,172407,79333,28733,1515
13,6,300.001,False,0,540870,3519919,0,TT,j30,LBIP0_DP,139252,127841,74309,2542
13,7,300,False,0,876318,5162629,0,TT,j30,LBIP0_DP,209394,198348,190435,7872
13,8,300,False,0,683150,4018964,0,TT,j30,LBIP0_DP,169719,186193,237362,6111
13,9,300.001,False,0,758420,4336168,0,TT,j30,LBIP0_DP,129034,163059,78103,7328
13,10,300.002,False,0,1063157,6546108,0,TT,j30,LBIP0_DP,203397,138452,120116,70576
14,1,300.002,False,0,627419,2002736,0,TT,j30,LBIP0_DP,193367,295913,27979,2828
14,2,300,False,0,596331,2606318,0,TT,j30,LBIP0_DP,149328,213964,48567,1189
14,3,11.0174,True,58,117072,478625,33,TT,j30,LBIP0_DP,31678,33734,767,0
14,4,300.002,False,0,649038,3029720,0,TT,j30,LBIP0_DP,196256,149873,35577,31417
14,5,0.240603,True,52,5060,30743,33,TT,j30,LBIP0_DP,2604,1154,186,2
14,6,0.599301,True,35,12634,69721,33,TT,j30,LBIP0_DP,6135,3683,35,4
14,7,300.003,False,0,599671,2778950,0,TT,j30,LBIP0_DP,222209,175800,6045,3574
14,8,0.0319583,True,54,1180,4687,33,TT,j30,LBIP0_DP,487,464,0,0
14,9,300,False,0,1036599,5424572,0,TT,j30,LBIP0_DP,490397,367742,35064,0
14,10,3.33475,True,61,69453,253673,33,TT,j30,LBIP0_DP,28160,30589,30323,1438
15,1,3.14834,True,46,59949,302338,33,TT,j30,LBIP0_DP,28595,33391,190,0
15,2,0.00220774,True,47,86,272,33,TT,j30,LBIP0_DP,35,113,0,0
15,3,0.00324192,True,48,97,434,33,TT,j30,LBIP0_DP,30,74,0,0
15,4,0.00504984,True,48,301,596,33,TT,j30,LBIP0_DP,92,899,0,0
15,5,87.2853,True,58,284157,1053954,33,TT,j30,LBIP0_DP,80184,81665,41938,7362
15,6,0.0279628,True,67,1277,4225,33,TT,j30,LBIP0_DP,350,466,13,0
15,7,0.308811,True,47,9259,31802,33,TT,j30,LBIP0_DP,2509,4457,0,0
15,8,300,False,0,432275,1164049,0,TT,j30,LBIP0_DP,177141,172995,4315,0
15,9,0.00495526,True,54,223,716,33,TT,j30,LBIP0_DP,67,233,0,0
15,10,0.00980963,True,65,646,1460,33,TT,j30,LBIP0_DP,202,704,0,0
16,1,0.016452,True,51,840,2101,33,TT,j30,LBIP0_DP,388,2196,0,0
16,2,0.00862424,True,48,490,1067,33,TT,j30,LBIP0_DP,255,2153,0,0
16,3,0.00614365,True,36,220,768,33,TT,j30,LBIP0_DP,142,361,0,0
16,4,0.00419605,True,47,249,503,33,TT,j30,LBIP0_DP,85,538,0,0
16,5,0.0103492,True,51,572,1254,33,TT,j30,LBIP0_DP,178,1946,0,0
16,6,0.00535254,True,51,323,624,33,TT,j30,LBIP0_DP,104,818,0,0
16,7,0.00426616,True,34,172,521,33,TT,j30,LBIP0_DP,64,251,0,0
16,8,0.00351511,True,44,228,406,33,TT,j30,LBIP0_DP,76,703,0,0
16,9,0.00941284,True,44,597,1111,33,TT,j30,LBIP0_DP,169,1744,0,0
16,10,0.0121239,True,51,842,1435,33,TT,j30,LBIP0_DP,179,3695,0,0
17,1,13.4554,True,64,391574,998374,33,TT,j30,LBIP0_DP,204716,638814,150183,1812
17,2,0.434802,True,68,35256,66705,33,TT,j30,LBIP0_DP,8842,74734,1016,5
17,3,0.0193954,True,60,1019,3007,33,TT,j30,LBIP0_DP,513,1816,0,0
17,4,0.0476344,True,49,2942,8517,33,TT,j30,LBIP0_DP,978,4739,565,491
17,5,0.241603,True,47,15387,37624,33,TT,j30,LBIP0_DP,5553,25376,2542,1138
17,6,0.0129254,True,63,904,2354,33,TT,j30,LBIP0_DP,337,1275,0,0
17,7,0.104755,True,57,5396,17247,33,TT,j30,LBIP0_DP,1643,9292,1306,280
17,8,0.0284535,True,61,1767,4518,33,TT,j30,LBIP0_DP,675,1886,92,150
17,9,0.0978175,True,48,5935,15994,33,TT,j30,LBIP0_DP,2499,10160,1188,543
17,10,0.00690144,True,66,469,1132,33,TT,j30,LBIP0_DP,136,626,0,0
18,1,0.0162011,True,53,1240,2515,33,TT,j30,LBIP0_DP,469,2846,24,0
18,2,0.012851,True,55,800,2299,33,TT,j30,LBIP0_DP,342,1196,26,0
18,3,0.0122406,True,56,966,1964,33,TT,j30,LBIP0_DP,166,1929,62,0
18,4,0.0151498,True,70,946,2449,33,TT,j30,LBIP0_DP,291,1815,6,0
18,5,0.024385,True,52,1690,4029,33,TT,j30,LBIP0_DP,655,3159,2,4
18,6,0.203614,True,62,19211,31703,33,TT,j30,LBIP0_DP,6466,34638,951,1895
