group,exam,time,finished,makespan,expand_number,generated_number,depth,PetriType,SetType,Heuristic,dominance_pruned,dominance_pop_pruned,ub_pruned
1,1,0.627225,True,43,21114,82944,33,TT,j30,LBCS_DP,7329,46506,1459,176
1,2,0.914687,True,47,47321,147146,33,TT,j30,LBCS_DP,25619,99440,23356,941
1,3,0.245944,True,47,17263,39440,33,TT,j30,LBCS_DP,5419,32898,5807,1441
1,4,4.1311,True,62,197890,546779,33,TT,j30,LBCS_DP,94276,452394,65339,641
1,5,4.46488,True,39,219013,527360,33,TT,j30,LBCS_DP,97734,529855,37694,3670
1,6,0.565986,True,48,35258,86759,33,TT,j30,LBCS_DP,13483,67578,10028,290
1,7,0.00483087,True,60,282,787,33,TT,j30,LBCS_DP,134,736,0,0
1,8,0.0690875,True,53,4487,12515,33,TT,j30,LBCS_DP,4540,7302,1502,0
1,9,0.638834,True,49,25113,93449,33,TT,j30,LBCS_DP,9448,51630,6855,1355
1,10,0.319175,True,45,18194,52480,33,TT,j30,LBCS_DP,10463,42978,4655,316
2,1,0.122022,True,38,5638,20695,33,TT,j30,LBCS_DP,3210,10186,2880,0
2,2,0.306573,True,51,23857,46800,33,TT,j30,LBCS_DP,6753,89694,5428,946
2,3,0.00479877,True,43,184,770,33,TT,j30,LBCS_DP,70,255,0,0
2,4,0.170143,True,43,9205,25725,33,TT,j30,LBCS_DP,4049,25078,1925,538
2,5,0.0137646,True,51,989,2222,33,TT,j30,LBCS_DP,343,1698,0,64
2,6,0.0106705,True,47,783,1626,33,TT,j30,LBCS_DP,339,1767,7,0
2,7,0.00528339,True,47,262,701,33,TT,j30,LBCS_DP,140,504,5,0
2,8,1.15354,True,54,64829,165665,33,TT,j30,LBCS_DP,26126,154245,8809,10887
2,9,0.100588,True,54,4404,14823,33,TT,j30,LBCS_DP,1333,8124,838,164
2,10,0.0862167,True,43,3637,13809,33,TT,j30,LBCS_DP,1828,7525,114,122
3,1,0.00117991,True,72,62,161,33,TT,j30,LBCS_DP,28,88,0,0
3,2,0.0978925,True,40,6332,16104,33,TT,j30,LBCS_DP,4053,11447,870,0
3,3,0.00585574,True,57,255,889,33,TT,j30,LBCS_DP,160,232,9,3
3,4,0.0764564,True,98,7755,12990,33,TT,j30,LBCS_DP,4789,19868,1771,0
3,5,0.396402,True,53,28168,60707,33,TT,j30,LBCS_DP,7857,87213,6071,256
3,6,0.00476006,True,54,215,659,33,TT,j30,LBCS_DP,131,282,0,0
3,7,0.0247481,True,48,1353,3787,33,TT,j30,LBCS_DP,818,3326,126,0
3,8,0.00553116,True,54,363,855,33,TT,j30,LBCS_DP,58,687,2,0
3,9,0.896083,True,65,70034,125080,33,TT,j30,LBCS_DP,19508,209538,6230,1275
3,10,0.147973,True,59,13646,21619,33,TT,j30,LBCS_DP,4092,42309,683,0
4,1,0.00230426,True,49,109,312,33,TT,j30,LBCS_DP,31,88,0,0
4,2,0.051673,True,60,4222,7282,33,TT,j30,LBCS_DP,1113,15328,222,0
4,3,0.00405252,True,47,265,598,33,TT,j30,LBCS_DP,100,520,0,0
4,4,0.00374576,True,57,183,512,33,TT,j30,LBCS_DP,53,316,1,0
4,5,0.0700557,True,59,2925,11562,33,TT,j30,LBCS_DP,1096,5092,248,0
4,6,0.00309406,True,45,178,414,33,TT,j30,LBCS_DP,118,209,0,0
4,7,0.00397347,True,56,180,562,33,TT,j30,LBCS_DP,44,233,5,0
4,8,0.00589134,True,55,476,886,33,TT,j30,LBCS_DP,144,1149,0,0
4,9,0.0286626,True,38,1214,4400,33,TT,j30,LBCS_DP,782,3730,472,6
4,10,0.00534756,True,48,408,802,33,TT,j30,LBCS_DP,73,1032,7,0
5,1,7.24798,True,53,151201,585789,33,TT,j30,LBCS_DP,65773,146627,21987,675
5,2,300,False,0,1895856,6372842,0,TT,j30,LBCS_DP,778252,2623202,535793,15879
5,3,275.173,True,76,2377504,6557209,33,TT,j30,LBCS_DP,797175,4406247,627044,32451
5,4,176.59,True,63,1250930,5364889,33,TT,j30,LBCS_DP,445918,1830187,178605,2879
5,5,8.03658,True,76,237393,757646,33,TT,j30,LBCS_DP,102421,326825,104758,4095
5,6,37.41,True,64,405304,1951913,33,TT,j30,LBCS_DP,189800,414841,112507,702
5,7,300,False,0,2799551,10263331,0,TT,j30,LBCS_DP,1721683,5089472,1342715,39325
5,8,216.306,True,67,1206443,4800668,33,TT,j30,LBCS_DP,508410,982289,573827,28650
5,9,300,False,0,1119374,3668676,0,TT,j30,LBCS_DP,677643,871428,199222,17907
5,10,300,False,0,870600,3151231,0,TT,j30,LBCS_DP,328001,620474,266143,6202
6,1,2.60337,True,59,70622,249896,33,TT,j30,LBCS_DP,32943,86616,9531,392
6,2,5.98775,True,51,152130,634667,33,TT,j30,LBCS_DP,64876,171064,11464,5191
6,3,0.398337,True,48,14369,48752,33,TT,j30,LBCS_DP,6977,19596,1198,120
6,4,1.14666,True,42,33009,132724,33,TT,j30,LBCS_DP,11932,38922,3588,107
