Group,Exam,CP,HRES,LBCS,LBCC,LBIP0,LBRC,t_cp_us,t_hres_us,t_lbcs_us,t_lbcc_us,t_lbip0_us,t_lbrc_us
1,1,77,41,77,77,77,41,0,3,9,15,86,2
1,2,65,46.8462,65,65,65,47,0,2,8,17,82,2
1,3,67,39.7143,67,67,68,40,0,3,9,18,93,2
1,4,79,39.4667,79,79,86,40,0,2,7,16,83,2
1,5,68,39.9286,68,68,68,40,0,3,9,18,85,2
1,6,52,42.7333,52,52,52,43,0,3,8,18,93,2
1,7,60,47,60,60,60,47,0,2,7,15,82,2
1,8,71,52.3333,71,71,71,53,0,2,7,16,81,2
1,9,75,46.7857,75,75,83,47,0,2,8,16,79,2
1,10,76,45.2727,76,76,80,46,0,2,8,16,80,2
2,1,65,31.5625,65,65,65,32,0,2,8,16,90,2
2,2,82,33.2105,82,82,82,34,0,2,8,15,79,1
2,3,77,42.4091,77,77,78,43,0,2,9,17,92,2
2,4,78,34.5,78,78,78,35,0,2,9,14,79,2
2,5,53,28.4286,53,53,53,29,0,3,7,18,99,2
2,6,61,33.7647,61,61,62,34,0,2,6,15,83,2
2,7,49,26.8333,49,49,49,27,0,2,6,15,96,2
2,8,66,36.7895,66,66,66,37,0,2,7,15,93,2
2,9,65,28.4375,65,65,65,29,0,3,7,16,86,2
2,10,64,32.6522,64,64,64,33,0,2,6,14,82,2
3,1,60,24.1905,60,60,60,25,0,2,7,15,81,2
3,2,69,24.0476,69,69,69,25,0,2,6,14,82,2
3,3,102,30.6842,102,102,105,31,0,3,10,17,90,2
3,4,81,28.25,81,81,81,29,0,2,8,14,75,2
3,5,83,24,83,83,83,24,0,2,8,16,79,2
3,6,57,26.25,57,57,57,27,0,2,5,15,83,2
3,7,58,24.6111,58,58,59,25,0,2,6,14,81,2
3,8,52,27.3846,52,52,52,28,0,2,6,14,81,2
3,9,63,31.2143,63,63,64,32,0,3,8,16,87,2
3,10,67,33,67,67,69,33,0,3,8,16,86,2
4,1,84,27.913,84,84,84,28,0,2,7,16,79,2
4,2,60,17.2727,60,60,60,18,0,2,8,15,82,2
4,3,58,16.8,58,58,58,17,0,2,6,16,90,2
4,4,65,26.75,65,65,65,27,0,2,7,14,80,2
4,5,75,23.5909,75,75,75,24,0,2,8,15,79,2
4,6,71,17.0625,71,71,71,18,0,2,7,14,84,2
4,7,67,22.2414,67,67,67,23,0,2,7,14,82,2
4,8,65,20.0526,65,65,65,21,0,2,7,14,82,2
4,9,75,30.6875,75,75,75,31,0,2,8,16,91,2
4,10,77,24.9545,77,77,77,25,0,2,7,15,79,2
5,1,59,58.5,59,59,61,59,1,8,8,19,138,3
5,2,76,77.25,76,78,80,78,0,6,8,19,127,3
5,3,59,58.5,59,64,64,59,0,6,8,18,139,3
5,4,53,56.4286,53,58,57,57,0,5,8,19,139,4
5,5,79,82.6,79,83,83,83,0,5,7,21,122,4
5,6,64,53.3529,64,64,68,54,0,4,7,17,119,3
5,7,51,59.1333,51,61,54,60,0,4,7,18,113,3
5,8,65,61.6471,65,65,68,62,0,4,8,17,125,3
5,9,82,62.2857,82,82,82,63,0,4,8,17,114,3
5,10,68,75.7368,68,76,68,76,0,4,7,17,120,3
6,1,60,39.2727,60,60,60,40,0,5,6,19,137,4
6,2,66,40.0417,66,66,66,41,0,4,7,17,120,3
6,3,72,43.55,72,72,72,44,0,4,7,17,118,3
6,4,67,42.3077,67,67,67,43,0,5,8,19,129,3
6,5,78,41.6207,78,78,78,42,0,4,8,19,131,3
6,6,53,46.1739,53,53,53,47,0,4,6,16,126,3
