Group,Exam,CP,HRES,LBCS,LBCC,LBIP0,LBRC,t_cp_us,t_hres_us,t_lbcs_us,t_lbcc_us,t_lbip0_us,t_lbrc_us
1,1,38,24.1667,38,38,43,25,1,5,8,20,50,3
1,2,42,25.6364,42,42,42,26,1,3,6,21,51,3
1,3,43,20.625,43,43,47,21,1,4,7,24,51,3
1,4,55,36,55,55,56,36,1,3,6,22,51,2
1,5,31,27.4545,31,31,32,28,0,2,6,17,41,2
1,6,38,27.3333,38,38,43,28,0,3,6,18,40,2
1,7,60,24.5455,60,60,60,25,0,3,6,17,40,2
1,8,53,28.0714,53,53,53,29,0,3,5,17,42,2
1,9,42,26.8333,42,42,45,27,0,3,5,19,42,2
1,10,37,24,37,38,40,24,0,2,5,16,36,2
2,1,34,19.5,34,34,36,20,0,2,4,15,36,2
2,2,46,27.0769,46,46,46,28,0,2,4,15,37,2
2,3,43,21.3846,43,43,43,22,0,2,4,16,38,2
2,4,42,17.3846,42,42,43,18,0,2,4,13,32,1
2,5,51,20.1,51,51,51,21,0,2,4,13,31,1
2,6,47,20.6875,47,47,47,21,0,2,4,14,31,1
2,7,47,23.6111,47,47,47,24,0,2,4,13,33,1
2,8,50,26.1,50,50,54,27,0,2,5,13,32,1
2,9,51,28.7333,51,51,54,29,0,2,4,13,34,1
2,10,41,19.25,41,41,41,20,0,2,4,13,30,1
3,1,72,22.8667,72,72,72,23,0,2,4,12,28,1
3,2,39,16.5294,39,39,40,17,0,2,3,11,30,1
3,3,57,21.3333,57,57,57,22,0,2,4,12,29,1
3,4,98,35.2727,98,98,98,36,0,2,5,12,26,1
3,5,46,22.25,46,46,50,23,0,2,3,11,29,1
3,6,53,19.25,53,53,54,20,0,2,4,11,27,1
3,7,48,15.3571,48,48,48,16,0,2,3,12,30,1
3,8,54,17.3333,54,54,54,18,0,1,3,11,27,1
3,9,60,22.3333,60,60,60,23,0,2,4,11,26,1
3,10,57,23.3684,57,57,57,24,0,2,3,11,26,1
4,1,49,14.6154,49,49,49,15,0,1,3,11,24,1
4,2,60,23.6,60,60,60,24,0,2,4,10,26,1
4,3,47,18.6667,47,47,47,19,0,2,3,10,27,1
4,4,57,15.8235,57,57,57,16,0,1,4,12,23,1
4,5,59,21.1111,59,59,59,22,0,2,3,11,27,1
4,6,45,18.5294,45,45,45,19,0,2,3,11,25,1
4,7,56,21.7778,56,56,56,22,0,1,3,11,25,1
4,8,55,17.8462,55,55,55,18,0,1,4,11,24,1
4,9,38,16.9412,38,38,38,17,0,1,3,11,25,1
4,10,48,22.6,48,48,48,23,0,1,3,11,24,1
5,1,41,31.3333,41,41,42,32,0,4,3,13,40,2
5,2,56,42.5,60,56,58,43,0,3,2,12,37,2
5,3,54,48.3846,54,54,58,49,0,3,3,12,38,2
5,4,43,46.6667,43,47,49,47,0,3,3,12,38,2
5,5,58,51.6667,58,59,64,52,0,3,3,12,35,2
5,6,47,39.3571,47,47,52,40,0,3,2,11,37,2
5,7,43,59,51,59,51,59,0,3,1,11,37,2
5,8,53,47.5714,53,53,56,48,0,3,3,11,34,2
5,9,38,31.6154,38,38,42,32,0,3,2,11,35,2
5,10,56,47.6429,56,56,56,48,0,2,3,12,36,2
6,1,54,39.2632,54,54,54,40,0,2,3,12,36,2
6,2,50,32.7222,50,50,50,33,0,3,3,11,34,2
6,3,45,28.4348,45,45,45,29,0,2,3,11,32,2
6,4,36,31.3182,36,36,36,32,0,2,3,11,36,2
6,5,57,46.9333,57,57,61,47,0,2,3,11,33,2
6,6,35,23.381,35,35,35,24,0,2,3,11,35,2
6,7,43,26.8,43,43,43,27,0,3,3,10,33,2
6,8,39,28.625,39,39,39,29,0,2,2,10,37,2
6,9,48,31.0556,48,48,48,32,0,2,3,11,32,2
6,10,58,39.9524,58,58,58,40,0,2,3,10,32,2
7,1,55,22,55,55,55,22,0,2,3,11,36,2
7,2,42,25.7143,42,42,42,26,0,2,3,10,36,2
7,3,39,25.4118,39,39,40,26,0,2,3,11,35,2
7,4,44,23.7778,44,44,44,24,0,2,3,10,34,2
7,5,41,29.0909,41,41,41,30,0,2,3,10,35,2
7,6,35,16.9524,35,35,35,17,0,2,2,10,35,2
7,7,50,28.2,50,50,50,29,0,2,3,10,32,1
7,8,43,32.3846,43,43,43,33,0,3,2,10,34,1
7,9,56,28,56,56,56,28,0,2,3,10,32,1
7,10,43,27.5294,43,43,46,28,0,2,3,9,31,1
8,1,44,21.9615,44,44,44,22,0,2,2,9,34,2
8,2,51,20.069,51,51,51,21,0,2,3,10,31,2
8,3,53,24.1875,53,53,53,25,0,2,3,9,34,2
8,4,48,20.4667,48,48,48,21,0,2,3,10,33,2
8,5,58,28.5909,58,58,58,29,0,2,3,10,31,2
8,6,47,23.16,47,47,47,24,0,2,2,10,33,1
8,7,41,17.5833,41,41,41,18,0,2,2,10,31,2
8,8,51,24.6111,51,51,51,25,0,2,3,9,32,1
8,9,39,18.3,39,39,39,19,0,2,2,9,33,1
8,10,67,23.6111,67,67,67,24,0,2,3,10,29,2
9,1,55,57.2667,62,58,58,58,0,3,2,10,41,2
9,2,45,62.3333,45,63,50,63,0,3,3,11,34,2
9,3,48,47.3077,48,51,56,48,0,3,2,10,33,2
9,4,52,55.6667,59,56,52,56,0,3,1,10,35,2
9,5,53,48,53,53,53,48,0,3,3,11,30,2
9,6,47,42.6667,47,47,47,43,0,3,2,11,32,2
9,7,41,48,41,48,46,48,0,3,2,10,33,2
9,8,54,66.0667,54,67,58,67,0,3,2,10,29,1
9,9,37,41.2,37,44,42,42,0,3,2,10,31,1
9,10,63,67.6429,63,69,63,68,0,3,3,10,30,2
10,1,41,29.1304,41,41,41,30,0,3,3,9,35,2
10,2,52,40.9,52,52,52,41,0,3,3,10,33,2
10,3,61,45.6842,61,61,61,46,0,3,3,10,33,1
10,4,53,40.3684,53,53,53,41,0,3,3,10,33,1
10,5,41,32.375,41,41,41,33,0,3,2,10,37,2
10,6,40,30.4231,40,40,41,31,0,3,2,10,35,1
10,7,47,31.12,47,47,47,32,0,3,2,11,36,2
10,8,50,37.0476,50,50,50,38,0,3,2,10,36,2
10,9,49,29.25,49,49,49,30,0,2,2,8,34,1
10,10,37,28.7083,37,37,37,29,0,3,2,9,38,2
11,1,52,42.5556,52,52,52,43,0,3,3,10,33,1
11,2,56,41,56,56,56,41,0,2,2,9,32,1
11,3,81,36.3636,81,81,81,37,0,3,3,10,33,1
11,4,60,38,60,60,60,38,0,2,2,9,28,1
11,5,48,38.3333,48,48,48,39,0,3,2,9,37,1
11,6,44,26.92,44,44,44,27,0,2,3,9,32,1
11,7,35,25.2069,35,35,35,26,0,3,2,9,37,1
11,8,62,39.9545,62,62,62,40,0,3,3,10,34,1
11,9,67,38.4706,67,67,67,39,0,3,3,10,32,1
11,10,38,25.5833,38,38,38,26,0,3,2,10,36,1
12,1,47,24.7407,47,47,47,25,0,3,2,10,37,2
12,2,46,29.1471,46,46,46,30,0,3,2,10,35,2
12,3,37,21.8333,37,37,37,22,0,3,2,9,37,2
12,4,63,27.8214,63,63,63,28,0,3,3,10,34,2
12,5,47,20.5,47,47,47,21,0,3,3,10,38,1
12,6,53,28.0435,53,53,53,29,0,3,3,10,37,1
12,7,55,25.7586,55,55,55,26,0,3,3,10,35,1
12,8,35,17.0263,35,35,35,18,0,3,2,10,38,2
12,9,52,26.9231,52,52,52,27,0,2,2,10,36,2
12,10,57,24.96,57,57,57,25,0,3,3,10,36,1
13,1,34,47.1667,34,48,40,48,0,3,3,9,33,1
13,2,32,54,32,54,37,54,0,3,2,10,34,1
