Group,Exam,CP,HRES,LBCS,LBCC,LBIP0,LBRC,t_cp_us,t_hres_us,t_lbcs_us,t_lbcc_us,t_lbip0_us,t_lbrc_us
22,9,97,63.9565,97,97,97,64,1,7,18,28,281,5
22,10,75,59.76,75,75,75,60,1,7,16,28,284,5
23,1,90,49.25,90,90,90,50,1,6,17,29,297,5
23,2,84,41.4286,84,84,84,42,1,7,15,28,259,5
23,3,116,43,116,116,116,43,1,7,27,30,289,5
23,4,85,48.7,85,85,85,49,1,6,13,25,260,5
23,5,95,53.2812,95,95,95,54,1,7,15,25,253,5
23,6,87,50.4286,87,87,87,51,1,6,15,23,259,5
23,7,77,39.8571,77,77,77,40,1,6,13,25,267,5
23,8,92,43.6071,92,92,92,44,1,7,16,27,274,5
23,9,126,56.8214,126,126,126,57,1,7,20,30,303,6
23,10,87,46.0357,87,87,87,47,1,6,15,25,264,5
24,1,84,33.8958,84,84,84,34,1,6,15,25,265,5
24,2,92,40.0968,92,92,92,41,1,7,17,29,306,5
24,3,69,27.7333,69,69,69,28,1,6,13,25,269,4
24,4,81,37.7955,81,81,81,38,1,6,15,24,263,5
24,5,85,35.9167,85,85,85,36,1,7,15,26,303,5
24,6,79,31.8684,79,79,79,32,1,7,15,27,293,5
24,7,87,32.1556,87,87,87,33,1,6,16,26,287,5
24,8,88,36.1579,88,88,88,37,1,6,13,26,284,5
24,9,80,41.9167,80,80,80,42,1,7,16,24,269,5
24,10,89,36.2941,89,89,89,37,1,6,17,25,264,5
25,1,94,104.429,94,110,94,105,1,7,15,26,316,6
25,2,83,112.043,83,114,83,113,1,8,15,27,298,6
25,3,77,104.667,77,105,78,105,1,8,12,27,301,5
25,4,95,121.263,95,122,100,122,1,9,18,30,330,6
25,5,71,104.667,71,107,74,105,1,8,14,26,314,6
25,6,79,105.619,79,110,79,106,1,9,17,30,332,6
25,7,77,113.3,77,114,77,114,1,9,14,28,342,5
25,8,101,127,101,128,104,127,1,8,16,28,302,5
25,9,80,89.15,80,90,80,90,1,8,14,27,340,5
25,10,96,109.579,96,110,100,110,1,8,19,29,304,5
26,1,90,51.5111,90,90,90,52,1,8,24,28,305,5
26,2,85,66.3226,85,85,85,67,1,7,13,27,289,5
26,3,80,57.6111,80,80,80,58,1,7,13,25,298,5
26,4,96,79.9643,96,96,96,80,1,8,18,29,296,5
26,5,82,70.6667,82,82,82,71,1,7,13,26,290,5
26,6,108,54.1795,108,108,108,55,1,7,16,27,295,5
26,7,82,60.2727,82,82,82,61,1,8,16,30,334,5
26,8,82,65.4,82,82,82,66,1,7,15,26,280,5
26,9,87,65.1724,87,87,87,66,1,7,15,26,301,5
26,10,92,46.9268,92,92,92,47,1,8,15,26,289,5
27,1,96,58.4242,96,96,96,59,1,8,16,29,301,5
27,2,81,47.4082,81,81,81,48,1,7,14,25,298,5
27,3,91,58.0571,91,91,91,59,1,8,19,29,341,6
27,4,79,49.6053,79,79,79,50,1,8,15,26,287,5
27,5,99,51.5116,99,99,99,52,1,8,17,29,301,5
27,6,87,48.587,87,87,87,49,1,8,14,28,320,5
27,7,73,38.8864,73,73,73,39,1,7,12,25,296,5
27,8,72,35.1636,72,72,72,36,1,7,13,24,301,5
27,9,84,50.7857,84,84,84,51,1,7,14,25,326,5
27,10,97,48.26,97,97,97,49,1,8,17,30,340,5
28,1,80,32.8182,80,80,80,33,1,8,13,27,324,5
28,2,76,33.6667,76,76,76,34,1,8,15,29,318,5
28,3,86,47.75,86,86,86,48,1,9,17,30,319,11
28,4,78,40.5926,78,78,78,41,1,7,13,26,298,5
28,5,88,35.4769,88,88,88,36,1,7,13,25,292,5
28,6,102,37.4655,102,102,102,38,1,8,18,29,308,5
28,7,97,44.98,97,97,97,45,1,7,14,26,287,5
28,8,110,51.8919,110,110,110,52,1,7,19,27,279,5
28,9,120,54.2051,120,120,120,55,1,7,18,27,280,5
28,10,68,28.1875,68,68,68,29,1,7,12,26,300,4
29,1,96,118.944,96,119,96,119,1,8,14,25,288,3
29,2,76,115.826,76,116,76,116,1,8,15,25,295,4
29,3,87,128.895,87,130,87,129,1,9,17,29,290,3
29,4,87,133.762,87,134,87,134,1,9,16,29,313,4
29,5,96,109.296,96,111,96,110,0,8,16,25,280,3
29,6,77,109.154,77,113,77,110,1,8,13,24,317,4
29,7,103,153.444,103,154,103,154,1,8,16,26,303,3
29,8,93,142.35,93,143,93,143,1,8,12,25,286,3
29,9,81,111.792,81,115,81,112,1,9,13,28,327,4
29,10,81,108.917,81,113,81,109,1,9,18,28,319,3
30,1,102,65.7556,102,102,102,66,1,8,15,25,281,3
30,2,76,56.1429,76,76,76,57,1,8,14,24,312,5
30,3,102,80.5758,102,102,102,81,1,9,19,30,295,3
30,4,104,80.7143,104,104,104,81,1,8,18,26,299,4
30,5,83,71.3514,83,83,83,72,1,9,14,34,320,4
30,6,90,61.4043,90,90,90,62,1,9,17,29,311,3
30,7,84,69.9286,84,84,84,70,1,9,15,29,281,3
30,8,82,59.6222,82,82,82,60,1,9,17,33,286,3
30,9,82,80.3243,82,82,82,81,1,8,13,25,273,3
30,10,90,72.4,90,90,90,73,1,8,17,26,267,3
31,1,79,50.76,79,79,79,51,1,9,16,26,291,4
31,2,69,49.0755,69,69,69,50,1,8,13,24,277,3
31,3,106,54.098,106,106,106,55,1,8,15,25,286,3
31,4,79,47.3966,79,79,79,48,1,9,15,25,285,4
31,5,79,54.5455,79,79,79,55,1,8,15,25,276,3
31,6,80,51.9216,80,80,80,52,1,9,16,29,313,4
31,7,97,48.2258,97,97,97,49,1,8,14,25,301,3
31,8,83,51.78,83,83,83,52,1,9,16,30,322,4
31,9,72,47.4844,72,72,72,48,1,9,17,29,306,3
31,10,99,57.3864,99,99,99,58,1,8,13,25,269,3
32,1,78,35.6582,78,78,78,36,1,8,13,24,275,3
32,2,78,31.7901,78,78,78,32,1,8,15,25,291,3
32,3,89,38.2188,89,89,89,39,1,9,17,28,298,3
32,4,104,53.1296,104,104,104,54,1,8,16,25,295,4
32,5,93,46.3333,93,93,93,47,1,8,14,25,275,3
32,6,86,41.8276,86,86,86,42,1,8,15,26,262,3
32,7,87,36.1299,87,87,87,37,1,9,15,28,285,4
32,8,79,33.8611,79,79,79,34,1,8,13,26,266,3
32,9,95,29.73,95,95,95,30,1,8,14,24,286,4
32,10,91,42.7778,91,91,91,43,1,9,21,25,283,3
33,1,82,62.2857,82,83,85,63,1,3,14,22,164,3
33,2,107,56.8333,107,107,109,57,1,4,17,25,181,3
33,3,105,60.25,105,105,108,61,1,4,19,25,167,3
33,4,85,55.75,85,85,90,56,1,4,18,23,165,2
33,5,106,56.4,106,106,108,57,1,4,17,21,162,3
33,6,83,57.0667,83,83,88,58,1,4,15,24,191,3
33,7,94,67.2143,94,94,99,68,1,3,13,21,162,3
33,8,99,62.5714,99,99,101,63,1,4,18,24,167,2
33,9,86,48.4667,86,86,87,49,1,4,15,25,180,3
33,10,113,69.5,113,113,113,70,1,3,17,22,159,3
34,1,83,44.9565,83,83,83,45,1,3,13,21,165,3
34,2,89,49.7059,89,89,89,50,1,4,20,25,167,2
34,3,82,39.9444,82,82,82,40,1,3,13,21,166,3
34,4,76,40.5238,76,76,76,41,1,3,15,23,162,2
34,5,80,39.4375,80,80,80,40,1,3,17,24,161,3
34,6,89,42.25,89,89,89,43,1,3,16,22,162,3
34,7,92,36.8696,92,92,92,37,1,4,17,25,169,3
34,8,78,45,78,78,81,45,1,3,16,25,186,3
34,9,109,44.8947,109,109,109,45,1,3,17,24,172,3
34,10,101,38.5,101,101,101,39,1,3,17,24,178,3
35,1,97,32.9375,97,97,98,33,1,4,17,25,188,3
35,2,92,40.9545,92,92,92,41,1,3,17,21,161,3
35,3,96,43.6471,96,96,96,44,1,3,16,22,155,3
35,4,86,36.8,86,86,86,37,1,4,18,24,183,3
35,5,103,36.6957,103,103,103,37,1,3,15,22,168,3
35,6,72,33.3043,72,72,72,34,1,4,16,24,161,3
35,7,78,34.8333,78,78,78,35,1,4,15,23,184,3
35,8,85,39.6364,85,85,85,40,1,3,14,20,161,3
35,9,76,33.16,76,76,76,34,1,3,13,20,157,3
35,10,82,38.9565,82,82,82,39,1,4,15,23,182,3
36,1,97,29.8571,97,97,97,30,1,3,19,23,185,3
36,2,114,36.5,114,114,114,37,1,3,17,21,162,3
36,3,84,27.381,84,84,84,28,1,4,19,25,172,2
36,4,79,23.8667,79,79,79,24,1,3,15,20,165,2
36,5,98,33.9167,98,98,98,34,1,3,14,20,160,3
36,6,99,28.1852,99,99,99,29,1,4,20,24,188,3
36,7,89,24.625,89,89,89,25,1,3,15,21,162,3
36,8,84,27.3182,84,84,84,28,1,3,17,21,157,2
36,9,102,30.0333,102,102,102,31,1,4,16,24,184,3
36,10,109,30.6786,109,109,109,31,1,3,18,21,164,3
37,1,84,87.1111,84,88,88,88,1,6,16,29,272,6
37,2,90,96.375,90,97,90,97,1,6,16,28,232,5
37,3,115,98,115,116,116,98,1,6,20,29,257,5
37,4,86,94.8333,86,96,87,95,1,5,13,25,234,5
37,5,92,94.8,92,97,98,95,1,6,15,26,234,5
37,6,96,98.1667,96,108,102,99,1,6,18,26,246,5
37,7,97,103.438,97,104,101,104,1,5,16,29,247,6
37,8,89,94.6,89,102,89,95,1,6,14,28,234,5
37,9,93,106,93,108,95,106,1,5,16,25,224,4
37,10,89,97.9375,89,100,92,98,4,7,17,28,267,5
38,1,83,55.2593,83,83,83,56,1,5,13,25,256,5
38,2,77,52.1923,77,77,77,53,1,6,14,24,236,5
38,3,88,55.2857,88,88,88,56,1,5,16,26,230,5
38,4,89,54.3667,89,89,89,55,1,7,19,28,240,5
38,5,84,62.7692,84,84,84,63,1,6,14,25,261,5
38,6,88,52.0667,88,88,88,53,1,6,15,25,246,5
38,7,85,52.4615,85,85,85,53,1,6,16,29,245,5
38,8,91,62,91,91,91,62,1,5,15,25,236,5
38,9,95,65.9231,95,95,95,66,1,6,16,25,238,5
38,10,108,61.5714,108,108,108,62,1,6,19,25,240,5
39,1,106,62.5909,106,106,106,63,1,6,19,29,256,5
39,2,119,52.7391,119,119,119,53,1,6,18,25,222,5
39,3,83,53.1765,83,83,83,54,1,6,14,27,232,5
39,4,81,51.9697,81,81,81,52,1,6,13,24,248,4
39,5,85,47.7949,85,85,85,48,1,6,14,25,222,5
39,6,102,52.9655,102,102,102,53,1,5,15,24,236,5
39,7,85,43,85,85,85,43,1,5,12,25,236,4
39,8,81,46.48,81,81,81,47,1,6,14,29,280,5
39,9,79,41.5484,79,79,79,42,1,5,14,26,244,5
39,10,100,47.3929,100,100,100,48,1,6,18,29,252,4
40,1,95,42.1724,95,95,95,43,1,5,15,25,230,5
40,2,91,39.2045,91,91,91,40,1,7,17,32,263,5
40,3,77,31.4783,77,77,77,32,1,6,12,25,241,5
40,4,106,40.7778,106,106,106,41,1,7,19,28,274,5
40,5,92,35.7941,92,92,92,36,1,7,19,31,256,5
40,6,86,34.9211,86,86,86,35,1,6,16,26,268,5
40,7,87,33.1579,87,87,87,34,1,7,16,27,240,5
40,8,79,31.5429,79,79,79,32,1,6,17,27,264,5
40,9,98,35.5,98,98,98,36,1,7,17,26,244,5
40,10,86,37.2222,86,86,86,38,1,6,13,24,232,5
41,1,102,122.045,102,123,102,123,1,8,17,29,261,6
41,2,108,133.75,108,136,111,134,1,7,18,27,248,5
41,3,106,131.353,106,136,107,132,1,7,19,30,252,5
41,4,85,132,85,134,87,132,1,8,14,31,255,5
