Group,Exam,LBER,CP
1,1,69,67
1,2,91,88
1,3,64,59
1,4,85,76
1,5,85,84
1,6,68,61
1,7,89,83
1,8,93,85
1,9,69,66
1,10,87,87
2,1,96,96
2,2,114,114
2,3,75,75
2,4,70,70
2,5,100,100
2,6,67,67
2,7,92,92
2,8,82,82
2,9,79,79
2,10,80,80
3,1,81,81
3,2,84,84
3,3,71,71
3,4,104,104
3,5,75,75
3,6,68,68
3,7,87,87
3,8,86,86
3,9,61,61
3,10,65,65
4,1,93,93
4,2,89,89
4,3,67,67
4,4,92,92
4,5,88,88
4,6,78,78
4,7,80,80
4,8,69,69
4,9,79,79
4,10,68,68
5,1,73,66
5,2,90,90
5,3,83,62
5,4,95,90
5,5,106,79
5,6,82,75
5,7,104,79
5,8,93,75
5,9,103,94
5,10,94,78
6,1,82,82
6,2,86,86
6,3,75,75
6,4,80,80
6,5,71,71
6,6,98,98
6,7,71,71
6,8,67,67
6,9,68,68
6,10,94,94
7,1,88,88
7,2,77,77
7,3,80,80
7,4,86,86
7,5,79,79
7,6,90,90
7,7,90,90
7,8,60,60
7,9,83,83
7,10,98,98
8,1,96,96
8,2,78,78
8,3,70,70
8,4,77,77
8,5,63,63
8,6,70,70
8,7,77,77
8,8,68,68
8,9,97,97
8,10,88,88
9,1,97,80
9,2,119,92
9,3,97,67
9,4,116,81
9,5,122,89
9,6,110,88
9,7,102,74
9,8,109,75
9,9,103,77
9,10,102,77
10,1,77,77
10,2,95,95
10,3,112,112
10,4,94,94
10,5,78,78
10,6,92,92
10,7,83,83
10,8,81,81
10,9,88,88
10,10,75,75
11,1,86,86
11,2,99,99
11,3,69,69
11,4,64,64
11,5,81,81
11,6,78,78
11,7,95,95
11,8,82,82
11,9,81,81
11,10,81,81
12,1,71,71
12,2,71,71
12,3,93,93
12,4,73,73
12,5,83,83
12,6,81,81
12,7,77,77
12,8,83,83
12,9,77,77
12,10,86,86
13,1,125,82
13,2,115,77
13,3,103,80
13,4,108,81
13,5,108,79
13,6,115,76
13,7,114,89
13,8,112,59
13,9,114,82
13,10,112,70
14,1,89,89
14,2,79,79
14,3,94,94
14,4,88,88
14,5,84,84
14,6,76,76
14,7,86,86
14,8,80,80
14,9,112,112
14,10,85,85
15,1,76,76
15,2,71,71
15,3,82,82
15,4,92,92
15,5,93,93
15,6,61,61
15,7,82,82
15,8,82,82
15,9,83,83
15,10,78,78
16,1,85,85
16,2,71,71
16,3,73,73
16,4,69,69
16,5,71,71
16,6,74,74
16,7,65,65
16,8,71,71
16,9,66,66
16,10,71,71
17,1,86,78
17,2,95,87
17,3,87,86
17,4,93,92
17,5,113,109
17,6,94,91
17,7,80,73
17,8,111,101
17,9,87,80
17,10,85,81
18,1,101,101
18,2,94,94
18,3,83,83
18,4,98,98
18,5,90,90
18,6,83,83
18,7,73,73
18,8,92,92
18,9,79,79
18,10,94,94
19,1,98,98
19,2,83,83
19,3,89,89
19,4,77,77
19,5,66,66
19,6,136,136
19,7,66,66
19,8,91,91
19,9,121,121
19,10,85,85
20,1,85,85
20,2,76,76
20,3,86,86
20,4,86,86
20,5,88,88
