Group,Exam,LBER,CP
1,1,43,38
1,2,45,42
1,3,47,43
1,4,61,55
1,5,34,31
1,6,45,38
1,7,60,60
1,8,53,53
1,9,46,42
1,10,42,37
2,1,37,34
2,2,48,46
2,3,43,43
2,4,43,42
2,5,51,51
2,6,47,47
2,7,47,47
2,8,54,50
2,9,54,51
2,10,43,41
3,1,72,72
3,2,40,39
3,3,57,57
3,4,98,98
3,5,50,46
3,6,54,53
3,7,48,48
3,8,54,54
3,9,60,60
3,10,57,57
4,1,49,49
4,2,60,60
4,3,47,47
4,4,57,57
4,5,59,59
4,6,45,45
4,7,56,56
4,8,55,55
4,9,38,38
4,10,48,48
5,1,45,41
5,2,72,56
5,3,60,54
5,4,54,43
5,5,68,58
5,6,64,47
5,7,72,43
5,8,57,53
5,9,45,38
5,10,60,56
6,1,54,54
6,2,50,50
6,3,46,45
6,4,41,36
6,5,61,57
6,6,37,35
6,7,46,43
6,8,39,39
6,9,51,48
6,10,58,58
7,1,55,55
7,2,42,42
7,3,42,39
7,4,44,44
7,5,43,41
7,6,35,35
7,7,50,50
7,8,43,43
7,9,60,56
7,10,49,43
8,1,44,44
8,2,51,51
8,3,53,53
8,4,48,48
8,5,58,58
8,6,47,47
8,7,41,41
8,8,51,51
8,9,39,39
8,10,67,67
9,1,75,55
9,2,85,45
9,3,58,48
9,4,59,52
9,5,59,53
9,6,52,47
9,7,54,41
9,8,75,54
9,9,51,37
9,10,70,63
10,1,42,41
10,2,52,52
10,3,61,61
10,4,55,53
10,5,41,41
10,6,43,40
10,7,49,47
10,8,50,50
10,9,49,49
10,10,39,37
11,1,52,52
11,2,56,56
11,3,81,81
11,4,63,60
11,5,48,48
11,6,44,44
11,7,36,35
11,8,62,62
11,9,67,67
11,10,38,38
12,1,47,47
12,2,46,46
12,3,37,37
12,4,63,63
12,5,47,47
12,6,53,53
12,7,55,55
12,8,35,35
12,9,52,52
12,10,57,57
13,1,50,34
13,2,55,32
13,3,64,45
13,4,57,50
13,5,56,43
13,6,55,44
13,7,62,50
13,8,88,48
13,9,62,51
13,10,55,52
14,1,45,43
14,2,48,44
14,3,58,58
14,4,48,45
14,5,50,50
14,6,34,34
14,7,47,47
14,8,54,54
14,9,44,44
14,10,59,58
15,1,46,46
15,2,47,47
15,3,48,48
15,4,48,48
15,5,56,56
15,6,67,67
15,7,47,47
15,8,50,46
15,9,54,54
15,10,65,65
16,1,51,51
16,2,48,48
16,3,36,36
16,4,47,47
16,5,51,51
16,6,51,51
16,7,34,34
16,8,44,44
16,9,44,44
16,10,51,51
17,1,60,45
17,2,68,59
17,3,60,60
17,4,49,42
17,5,43,35
17,6,63,63
17,7,54,50
17,8,60,53
17,9,47,44
17,10,66,66
18,1,53,47
18,2,55,52
18,3,55,53
18,4,69,67
18,5,52,50
18,6,59,53
18,7,48,46
18,8,52,49
18,9,47,44
18,10,46,41
19,1,40,39
19,2,58,58
19,3,83,83
19,4,39,39
19,5,48,47
19,6,49,44
19,7,56,54
19,8,55,55
19,9,38,38
19,10,47,44
20,1,57,57
20,2,70,70
20,3,49,49
20,4,43,43
20,5,61,61
20,6,51,51
20,7,42,42
20,8,51,51
20,9,41,41
20,10,37,37
21,1,69,60
21,2,52,42
21,3,70,60
21,4,57,52
21,5,52,43
21,6,62,53
21,7,57,53
21,8,56,48
21,9,65,43
21,10,60,54
22,1,41,40
22,2,45,42
22,3,63,61
22,4,42,40
22,5,52,46
22,6,50,45
22,7,56,55
22,8,52,50
22,9,76,72
22,10,54,52
23,1,63,63
23,2,53,53
23,3,46,46
23,4,65,63
23,5,52,48
23,6,48,47
23,7,60,58
23,8,48,48
23,9,63,58
23,10,61,61
24,1,53,53
24,2,58,58
24,3,69,69
24,4,53,53
24,5,51,51
24,6,56,56
24,7,44,44
24,8,38,38
24,9,43,43
24,10,53,53
25,1,74,63
25,2,61,43
25,3,65,44
25,4,62,48
25,5,59,45
25,6,47,41
25,7,74,59
25,8,54,38
25,9,72,50
25,10,49,47
26,1,59,59
26,2,40,40
26,3,58,58
26,4,62,62
26,5,72,64
26,6,49,49
26,7,56,56
26,8,66,63
26,9,41,41
26,10,48,47
27,1,43,43
27,2,58,58
27,3,60,60
27,4,64,64
27,5,49,49
27,6,59,59
27,7,48,46
27,8,66,66
27,9,55,55
27,10,62,62
28,1,69,69
