group,exam,time,finished,makespan,expand_number,generated_number,depth,PetriType,SetType,Heuristic,dominance_pruned,dominance_pop_pruned,ub_pruned,dr4_pruned
6,10,1.03058,True,94,9715,99685,93,TT2,j90,LBCC_DP,17909,0,0,43049
7,1,0.00457165,True,88,112,547,93,TT2,j90,LBCC_DP,0,0,0,668
7,2,0.00533867,True,77,95,643,93,TT2,j90,LBCC_DP,0,0,0,582
7,3,300,False,0,8184882,51656335,0,TT2,j90,LBCC_DP,20495531,0,0,38340752
7,4,0.00313973,True,86,93,486,93,TT2,j90,LBCC_DP,0,0,0,510
7,5,0.00650174,True,79,119,707,93,TT2,j90,LBCC_DP,0,0,0,622
7,6,0.0208554,True,90,388,2840,93,TT2,j90,LBCC_DP,0,0,0,2253
7,7,0.00360816,True,90,93,548,93,TT2,j90,LBCC_DP,0,0,0,457
7,8,300,False,0,2262813,21877916,0,TT2,j90,LBCC_DP,4769104,0,0,9261213
7,9,0.34912,True,83,6062,32404,93,TT2,j90,LBCC_DP,3257,0,0,63053
7,10,0.00644974,True,98,116,903,93,TT2,j90,LBCC_DP,13,0,0,489
8,1,0.00380858,True,96,93,572,93,TT2,j90,LBCC_DP,0,0,0,470
8,2,0.00403668,True,78,121,628,93,TT2,j90,LBCC_DP,0,0,0,507
8,3,0.00307145,True,70,93,468,93,TT2,j90,LBCC_DP,0,0,0,614
8,4,0.00334047,True,77,93,468,93,TT2,j90,LBCC_DP,0,0,0,524
8,5,0.00511108,True,63,95,632,93,TT2,j90,LBCC_DP,0,0,0,534
8,6,0.00492346,True,70,103,626,93,TT2,j90,LBCC_DP,0,0,0,804
8,7,0.00361973,True,77,93,670,93,TT2,j90,LBCC_DP,0,0,0,530
8,8,0.00351539,True,68,93,663,93,TT2,j90,LBCC_DP,0,0,0,527
8,9,0.00329274,True,97,93,539,93,TT2,j90,LBCC_DP,0,0,0,354
8,10,0.00287184,True,88,93,512,93,TT2,j90,LBCC_DP,0,0,0,420
9,1,300,False,0,3304151,25593814,0,TT2,j90,LBCC_DP,5343349,560,0,20706347
9,2,300,False,0,3066672,26279433,0,TT2,j90,LBCC_DP,3784406,14038,0,17326725
9,3,300,False,0,2952534,23591459,0,TT2,j90,LBCC_DP,2598342,12,0,15388431
9,4,300,False,0,3183537,24930512,0,TT2,j90,LBCC_DP,3734733,35770,0,14451396
9,5,300,False,0,4582936,29964885,0,TT2,j90,LBCC_DP,7926207,33705,0,36278040
9,6,300,False,0,3434738,26941025,0,TT2,j90,LBCC_DP,3276118,55,0,22167420
9,7,300,False,0,2697461,25977843,0,TT2,j90,LBCC_DP,2318252,16,0,16833775
9,8,300,False,0,3385873,27904369,0,TT2,j90,LBCC_DP,3396376,9,0,18450293
9,9,300,False,0,3506466,27322361,0,TT2,j90,LBCC_DP,2815417,1195,0,24049605
9,10,300,False,0,3571533,28556303,0,TT2,j90,LBCC_DP,7324734,18982,0,18122451
10,1,6.14836,True,77,41407,397112,93,TT2,j90,LBCC_DP,28467,0,0,275045
10,2,61.5653,True,95,1630984,8925958,93,TT2,j90,LBCC_DP,2655155,0,0,3499120
10,3,0.0120338,True,112,179,1414,93,TT2,j90,LBCC_DP,1,0,0,695
10,4,0.0170686,True,94,168,1404,93,TT2,j90,LBCC_DP,5,0,0,926
10,5,0.0401495,True,78,407,3489,93,TT2,j90,LBCC_DP,89,0,0,2359
10,6,0.00893886,True,92,130,836,93,TT2,j90,LBCC_DP,0,0,0,732
10,7,0.0210737,True,83,354,2318,93,TT2,j90,LBCC_DP,89,0,0,2011
10,8,300,False,0,4272179,39786423,0,TT2,j90,LBCC_DP,9503397,0,0,13795169
10,9,0.0469458,True,88,587,4135,93,TT2,j90,LBCC_DP,142,0,0,1607
10,10,300,False,0,4615053,32829427,0,TT2,j90,LBCC_DP,9089781,17,0,14419655
11,1,0.00434107,True,86,94,571,93,TT2,j90,LBCC_DP,0,0,0,479
11,2,0.00729941,True,99,132,727,93,TT2,j90,LBCC_DP,0,0,0,419
11,3,2.99836,True,69,45515,335298,93,TT2,j90,LBCC_DP,71406,0,0,220688
11,4,0.0136791,True,64,193,1601,93,TT2,j90,LBCC_DP,0,0,0,843
11,5,0.00440516,True,81,106,603,93,TT2,j90,LBCC_DP,0,0,0,556
11,6,12.6952,True,78,109014,1070835,93,TT2,j90,LBCC_DP,168350,0,0,458545
11,7,0.00408393,True,95,93,477,93,TT2,j90,LBCC_DP,0,0,0,503
11,8,0.00653447,True,82,142,855,93,TT2,j90,LBCC_DP,1,0,0,574
11,9,0.0278452,True,81,289,2214,93,TT2,j90,LBCC_DP,2,0,0,2007
11,10,0.00463339,True,81,103,516,93,TT2,j90,LBCC_DP,0,0,0,490
12,1,0.00434461,True,71,93,783,93,TT2,j90,LBCC_DP,0,0,0,376
12,2,0.00378816,True,71,93,592,93,TT2,j90,LBCC_DP,0,0,0,469
12,3,0.00419258,True,93,97,681,93,TT2,j90,LBCC_DP,0,0,0,399
12,4,0.005606,True,73,93,592,93,TT2,j90,LBCC_DP,0,0,0,429
12,5,0.00412978,True,83,93,597,93,TT2,j90,LBCC_DP,0,0,0,486
12,6,0.00349033,True,81,93,644,93,TT2,j90,LBCC_DP,0,0,0,442
12,7,0.00647961,True,77,112,737,93,TT2,j90,LBCC_DP,0,0,0,642
12,8,0.00462896,True,83,93,640,93,TT2,j90,LBCC_DP,0,0,0,570
12,9,0.00408575,True,77,93,531,93,TT2,j90,LBCC_DP,0,0,0,479
12,10,0.0049783,True,86,99,745,93,TT2,j90,LBCC_DP,0,0,0,331
13,1,300,False,0,2705104,23946034,0,TT2,j90,LBCC_DP,2356753,8119,0,12446805
13,2,300.067,False,0,2390329,22812790,0,TT2,j90,LBCC_DP,2576420,4506,0,7237323
13,3,300,False,0,2312848,23521652,0,TT2,j90,LBCC_DP,815820,0,0,10141433
13,4,300,False,0,2331719,24407598,0,TT2,j90,LBCC_DP,762875,1,0,12850895
13,5,300,False,0,2077143,23440088,0,TT2,j90,LBCC_DP,999656,0,0,10529027
13,6,300,False,0,2753709,21330155,0,TT2,j90,LBCC_DP,3324277,8694,0,11885080
13,7,300,False,0,2178550,20857306,0,TT2,j90,LBCC_DP,3267970,3,0,10168608
13,8,300,False,0,2262973,25469432,0,TT2,j90,LBCC_DP,542440,0,0,13860607
13,9,300,False,0,3114335,29495152,0,TT2,j90,LBCC_DP,3583624,14,0,14190002
13,10,300,False,0,2120693,21759139,0,TT2,j90,LBCC_DP,1303716,0,0,11111733
14,1,1.47722,True,89,59123,299155,93,TT2,j90,LBCC_DP,51483,0,0,94485
14,2,300,False,0,3863703,30932104,0,TT2,j90,LBCC_DP,7704156,0,0,8803329
14,3,0.0149911,True,94,147,1326,93,TT2,j90,LBCC_DP,0,0,0,960
14,4,300,False,0,2515800,24991640,0,TT2,j90,LBCC_DP,2993606,0,0,8221022
14,5,0.0955186,True,84,140,882,93,TT2,j90,LBCC_DP,0,0,0,837
14,6,300,False,0,1520120,21414762,0,TT2,j90,LBCC_DP,849594,0,0,7013911
14,7,0.0185742,True,86,103,708,93,TT2,j90,LBCC_DP,0,0,0,560
14,8,5.15927,True,80,86163,701052,93,TT2,j90,LBCC_DP,97548,0,0,198856
14,9,0.0143909,True,112,167,1533,93,TT2,j90,LBCC_DP,0,0,0,523
14,10,300,False,0,3704180,35312158,0,TT2,j90,LBCC_DP,7675459,0,0,9766069
15,1,0.00766425,True,76,123,715,93,TT2,j90,LBCC_DP,0,0,0,754
15,2,120.759,True,71,1088721,7180082,93,TT2,j90,LBCC_DP,1000217,0,0,1710323
15,3,0.0599664,True,82,99,721,93,TT2,j90,LBCC_DP,0,0,0,505
15,4,0.00942698,True,92,111,996,93,TT2,j90,LBCC_DP,0,0,0,546
15,5,0.00531973,True,93,115,593,93,TT2,j90,LBCC_DP,0,0,0,465
15,6,0.0927107,True,61,1381,9685,93,TT2,j90,LBCC_DP,658,0,0,5287
15,7,0.00490822,True,82,194,849,93,TT2,j90,LBCC_DP,55,0,0,637
15,8,0.0237656,True,82,452,3012,93,TT2,j90,LBCC_DP,195,0,0,1326
15,9,0.0425854,True,83,380,3203,93,TT2,j90,LBCC_DP,35,0,0,2166
15,10,0.115052,True,78,1028,10213,93,TT2,j90,LBCC_DP,19,0,0,4979
16,1,0.00343967,True,85,93,578,93,TT2,j90,LBCC_DP,0,0,0,396
16,2,0.00344408,True,71,93,474,93,TT2,j90,LBCC_DP,0,0,0,482
16,3,0.00751774,True,73,152,884,93,TT2,j90,LBCC_DP,0,0,0,629
16,4,0.00644291,True,69,101,706,93,TT2,j90,LBCC_DP,0,0,0,623
16,5,0.0101038,True,71,150,1028,93,TT2,j90,LBCC_DP,0,0,0,792
16,6,0.00385835,True,74,93,611,93,TT2,j90,LBCC_DP,0,0,0,544
16,7,0.00319302,True,65,93,567,93,TT2,j90,LBCC_DP,0,0,0,509
16,8,0.00361618,True,71,93,568,93,TT2,j90,LBCC_DP,0,0,0,462
16,9,0.0306493,True,66,623,3903,93,TT2,j90,LBCC_DP,173,0,0,2495
16,10,0.00358315,True,71,93,541,93,TT2,j90,LBCC_DP,0,0,0,398
17,1,300,False,0,7136892,47477447,0,TT2,j90,LBCC_DP,12876188,0,0,50211702
17,2,300,False,0,12729591,71633320,0,TT2,j90,LBCC_DP,25733503,198271,0,68832074
17,3,300,False,0,6968681,43511968,0,TT2,j90,LBCC_DP,12740771,956,0,42498181
17,4,300,False,0,10924089,66590892,0,TT2,j90,LBCC_DP,26891451,3164,0,30339113
17,5,15.0593,True,113,704906,2452296,93,TT2,j90,LBCC_DP,936683,167520,0,2944324
17,6,300,False,0,12338072,63799316,0,TT2,j90,LBCC_DP,23355536,17345,0,53489654
17,7,300,False,0,6431864,44658823,0,TT2,j90,LBCC_DP,15059227,0,0,60474066
17,8,300,False,0,15431760,79226532,0,TT2,j90,LBCC_DP,27141142,2246,0,90652588
17,9,300,False,0,13862576,61733925,0,TT2,j90,LBCC_DP,28351355,1230616,0,68966531
17,10,300,False,0,12859457,61637167,0,TT2,j90,LBCC_DP,22943313,6276,0,70115025
18,1,300,False,0,8432509,68244229,0,TT2,j90,LBCC_DP,31428464,0,0,27975877
18,2,22.7875,True,94,1173104,5830085,93,TT2,j90,LBCC_DP,2304224,0,0,5600774
18,3,10.0499,True,83,320428,1785856,93,TT2,j90,LBCC_DP,442915,0,0,2577783
18,4,0.00302162,True,98,93,523,93,TT2,j90,LBCC_DP,0,0,0,400
18,5,300,False,0,16396113,90208103,0,TT2,j90,LBCC_DP,38406264,642,0,79769857
18,6,300,False,0,13841039,75846969,0,TT2,j90,LBCC_DP,33317169,1729,0,70439145
18,7,0.128897,True,73,8235,34534,93,TT2,j90,LBCC_DP,7427,0,0,24713
18,8,0.0100566,True,92,173,1107,93,TT2,j90,LBCC_DP,4,0,0,566
18,9,0.0166766,True,79,896,3445,93,TT2,j90,LBCC_DP,227,0,0,2729
18,10,1.73848,True,94,115083,490685,93,TT2,j90,LBCC_DP,180603,0,0,467734
19,1,0.00339919,True,98,93,568,93,TT2,j90,LBCC_DP,0,0,0,329
