group,exam,time,finished,makespan,expand_number,generated_number,depth,PetriType,SetType,Heuristic,dominance_pruned,dominance_pop_pruned,ub_pruned,dr4_pruned
7,8,0.00142128,True,66,93,471,63,TT2,j60,LBCS_DP,0,0,0,256
7,9,300,False,0,5971443,39341549,0,TT2,j60,LBCS_DP,12663098,5,0,18195714
7,10,0.000989065,True,82,69,262,63,TT2,j60,LBCS_DP,1,0,0,194
8,1,0.00104346,True,64,63,344,63,TT2,j60,LBCS_DP,0,0,0,189
8,2,0.00113234,True,61,63,337,63,TT2,j60,LBCS_DP,0,0,0,221
8,3,0.000770491,True,79,63,224,63,TT2,j60,LBCS_DP,0,0,0,156
8,4,0.00108194,True,64,65,327,63,TT2,j60,LBCS_DP,0,0,0,176
8,5,0.000902658,True,83,63,302,63,TT2,j60,LBCS_DP,0,0,0,189
8,6,300,False,0,6943546,56281717,0,TT2,j60,LBCS_DP,17948874,0,0,22790579
8,7,0.00101775,True,62,63,305,63,TT2,j60,LBCS_DP,0,0,0,213
8,8,0.000929123,True,66,63,283,63,TT2,j60,LBCS_DP,0,0,0,209
8,9,0.00220634,True,58,159,692,63,TT2,j60,LBCS_DP,10,0,0,911
8,10,0.000983108,True,97,63,312,63,TT2,j60,LBCS_DP,0,0,0,128
9,1,300,False,0,9938049,61044878,0,TT2,j60,LBCS_DP,16900666,156681,0,36951733
9,2,300,False,0,11401063,64542603,0,TT2,j60,LBCS_DP,23335888,1241805,0,43009804
9,3,300,False,0,9535193,52118315,0,TT2,j60,LBCS_DP,17193363,352880,0,42827768
9,4,300,False,0,10747539,60093235,0,TT2,j60,LBCS_DP,20061182,799358,0,55598424
9,5,300,False,0,8001152,55636422,0,TT2,j60,LBCS_DP,16182667,126817,0,21615382
9,6,300,False,0,8577118,53042930,0,TT2,j60,LBCS_DP,17078745,704242,0,27179548
9,7,300,False,0,9036123,52623899,0,TT2,j60,LBCS_DP,14487997,269647,0,28652408
9,8,300,False,0,8147244,49017249,0,TT2,j60,LBCS_DP,17272118,369662,0,33855964
9,9,300,False,0,6999819,47139219,0,TT2,j60,LBCS_DP,15628586,355887,0,25783185
9,10,300,False,0,10438654,63685505,0,TT2,j60,LBCS_DP,17136939,209968,0,46952247
10,1,0.00357305,True,85,155,940,63,TT2,j60,LBCS_DP,0,0,0,456
10,2,0.0511111,True,62,1500,11921,63,TT2,j60,LBCS_DP,866,0,0,5097
10,3,300,False,0,7538785,47446474,0,TT2,j60,LBCS_DP,15627756,11963,0,14680201
10,4,300,False,0,5870696,36978453,0,TT2,j60,LBCS_DP,11970769,3,0,11213296
10,5,0.00240115,True,79,110,589,63,TT2,j60,LBCS_DP,2,0,0,367
10,6,0.0686008,True,67,3096,18990,63,TT2,j60,LBCS_DP,1815,0,0,13729
10,7,300,False,0,6682075,43312588,0,TT2,j60,LBCS_DP,9923919,0,0,23540300
10,8,304.129,False,0,11535349,71705670,0,TT2,j60,LBCS_DP,24621231,94,0,46007907
10,9,300,False,0,4413414,36898667,0,TT2,j60,LBCS_DP,6256550,28,0,15550185
10,10,0.0493349,True,73,94,492,63,TT2,j60,LBCS_DP,3,0,0,243
11,1,0.00950276,True,71,253,2247,63,TT2,j60,LBCS_DP,18,0,0,728
11,2,0.00111816,True,61,67,368,63,TT2,j60,LBCS_DP,0,0,0,193
11,3,0.00083909,True,76,63,251,63,TT2,j60,LBCS_DP,0,0,0,194
11,4,0.00281799,True,69,149,805,63,TT2,j60,LBCS_DP,12,0,0,458
11,5,0.00298744,True,65,151,811,63,TT2,j60,LBCS_DP,44,0,0,768
11,6,300,False,0,4734428,33401798,0,TT2,j60,LBCS_DP,9754002,29,0,11133607
11,7,0.00238441,True,70,108,651,63,TT2,j60,LBCS_DP,1,0,0,325
11,8,0.0036294,True,69,200,1202,63,TT2,j60,LBCS_DP,139,0,0,389
11,9,0.00189464,True,62,87,471,63,TT2,j60,LBCS_DP,0,0,0,304
11,10,0.00118706,True,58,69,365,63,TT2,j60,LBCS_DP,0,0,0,237
12,1,0.00104378,True,59,63,371,63,TT2,j60,LBCS_DP,0,0,0,197
12,2,0.00123729,True,58,73,390,63,TT2,j60,LBCS_DP,0,0,0,226
12,3,0.000766114,True,75,65,215,63,TT2,j60,LBCS_DP,0,0,0,241
12,4,0.00105605,True,69,63,300,63,TT2,j60,LBCS_DP,0,0,0,187
12,5,0.000895029,True,63,63,247,63,TT2,j60,LBCS_DP,0,0,0,235
12,6,0.00129421,True,54,75,375,63,TT2,j60,LBCS_DP,0,0,0,280
12,7,0.00127863,True,71,63,383,63,TT2,j60,LBCS_DP,0,0,0,139
12,8,0.00102575,True,60,71,310,63,TT2,j60,LBCS_DP,0,0,0,234
12,9,0.00150172,True,59,74,438,63,TT2,j60,LBCS_DP,0,0,0,234
12,10,0.000855086,True,79,63,280,63,TT2,j60,LBCS_DP,0,0,0,181
13,1,300,False,0,8692876,51125187,0,TT2,j60,LBCS_DP,13357187,146980,0,21633291
13,2,300,False,0,10075468,59659934,0,TT2,j60,LBCS_DP,13341851,27228,0,32723328
13,3,300,False,0,5771068,53144490,0,TT2,j60,LBCS_DP,7515053,919,0,16278476
13,4,300,False,0,5715923,46077619,0,TT2,j60,LBCS_DP,8943481,19720,0,17955464
13,5,300,False,0,7113204,60920154,0,TT2,j60,LBCS_DP,9492676,764,0,17681342
13,6,300,False,0,8881394,61963208,0,TT2,j60,LBCS_DP,12033877,11430,0,25451058
13,7,300,False,0,5856331,44132168,0,TT2,j60,LBCS_DP,7829015,34976,0,13290957
13,8,300,False,0,9543325,61731467,0,TT2,j60,LBCS_DP,15479113,291831,0,26633141
13,9,300,False,0,7194193,47977453,0,TT2,j60,LBCS_DP,9832038,34441,0,15500633
13,10,303.305,False,0,7511908,50993607,0,TT2,j60,LBCS_DP,13551754,25744,0,15881083
14,1,300,False,0,4867738,36138856,0,TT2,j60,LBCS_DP,5392852,0,0,21176738
14,2,300,False,0,2656919,18964211,0,TT2,j60,LBCS_DP,4173694,627,0,6864364
14,3,300,False,0,5395451,42061888,0,TT2,j60,LBCS_DP,8497043,0,0,16827996
14,4,300,False,0,3946196,23735103,0,TT2,j60,LBCS_DP,6537131,317,0,14876889
14,5,300,False,0,7299516,45236502,0,TT2,j60,LBCS_DP,11682443,944,0,15877685
