group,exam,time,finished,makespan,expand_number,generated_number,depth,PetriType,SetType,Heuristic,dominance_pruned,dominance_pop_pruned,ub_pruned,dr4_pruned
1,1,0.0498469,True,43,5603,17523,33,TT2,j30,LBCC_DP,4919,1071,0,13625
1,2,0.057335,True,47,8961,26238,33,TT2,j30,LBCC_DP,7064,2412,0,19861
1,3,0.0317031,True,47,3335,8466,33,TT2,j30,LBCC_DP,2417,470,0,3893
1,4,0.232385,True,62,33929,104691,33,TT2,j30,LBCC_DP,46416,4984,0,67661
1,5,0.156619,True,39,22941,77435,33,TT2,j30,LBCC_DP,36053,3274,0,28825
1,6,0.0175158,True,48,2992,8990,33,TT2,j30,LBCC_DP,3969,125,0,5112
1,7,0.000771644,True,60,62,184,33,TT2,j30,LBCC_DP,3,0,0,94
1,8,0.00127201,True,53,204,498,33,TT2,j30,LBCC_DP,7,0,0,323
1,9,0.0463166,True,49,6117,20101,33,TT2,j30,LBCC_DP,7673,944,0,10214
1,10,0.0218702,True,45,3701,10530,33,TT2,j30,LBCC_DP,3611,579,0,5185
2,1,0.0133027,True,38,785,2591,33,TT2,j30,LBCC_DP,878,50,0,1144
2,2,0.105759,True,51,16994,49113,33,TT2,j30,LBCC_DP,18133,2300,0,22783
2,3,0.0031396,True,43,97,288,33,TT2,j30,LBCC_DP,8,0,0,109
2,4,0.276671,True,43,41201,138859,33,TT2,j30,LBCC_DP,41525,7,0,63597
2,5,0.000445859,True,51,33,117,33,TT2,j30,LBCC_DP,0,0,0,50
2,6,0.000647166,True,47,33,106,33,TT2,j30,LBCC_DP,0,0,0,46
2,7,0.000615419,True,47,34,100,33,TT2,j30,LBCC_DP,0,0,0,56
2,8,0.0519568,True,54,7761,22948,33,TT2,j30,LBCC_DP,7006,554,0,18238
2,9,0.0557643,True,54,8906,26209,33,TT2,j30,LBCC_DP,4980,1254,0,11117
2,10,0.0267944,True,43,3219,8179,33,TT2,j30,LBCC_DP,2044,929,0,5952
3,1,0.000451594,True,72,35,114,33,TT2,j30,LBCC_DP,0,0,0,31
3,2,0.0521781,True,40,7844,22681,33,TT2,j30,LBCC_DP,3627,19,0,15015
3,3,0.000727901,True,57,33,91,33,TT2,j30,LBCC_DP,0,0,0,56
3,4,0.000619996,True,98,45,97,33,TT2,j30,LBCC_DP,1,0,0,40
3,5,0.0235728,True,53,3104,9452,33,TT2,j30,LBCC_DP,3718,378,0,4256
3,6,0.00143162,True,54,36,101,33,TT2,j30,LBCC_DP,0,0,0,44
3,7,0.00111875,True,48,33,91,33,TT2,j30,LBCC_DP,0,0,0,77
3,8,0.00118485,True,54,33,91,33,TT2,j30,LBCC_DP,0,0,0,53
3,9,0.0882492,True,65,14883,41096,33,TT2,j30,LBCC_DP,15640,1053,0,26463
3,10,0.203363,True,59,35248,117543,33,TT2,j30,LBCC_DP,42555,1479,0,45602
4,1,0.000426257,True,49,33,100,33,TT2,j30,LBCC_DP,0,0,0,42
4,2,0.000490107,True,60,74,169,33,TT2,j30,LBCC_DP,0,0,0,76
4,3,0.036574,True,47,2433,9456,33,TT2,j30,LBCC_DP,1191,0,0,4345
4,4,0.000579961,True,57,33,74,33,TT2,j30,LBCC_DP,0,0,0,54
4,5,0.00133869,True,59,33,98,33,TT2,j30,LBCC_DP,0,0,0,43
4,6,0.00119221,True,45,37,95,33,TT2,j30,LBCC_DP,0,0,0,48
4,7,0.00175417,True,56,33,128,33,TT2,j30,LBCC_DP,0,0,0,30
4,8,0.00115054,True,55,33,98,33,TT2,j30,LBCC_DP,0,0,0,38
4,9,0.00791825,True,38,439,1078,33,TT2,j30,LBCC_DP,109,0,0,627
4,10,0.00115594,True,48,33,92,33,TT2,j30,LBCC_DP,0,0,0,52
5,1,0.160053,True,53,15904,53339,33,TT2,j30,LBCC_DP,17412,1601,0,20143
5,2,0.0846627,True,82,13024,36581,33,TT2,j30,LBCC_DP,13904,1130,0,20536
5,3,0.0918488,True,76,13524,38770,33,TT2,j30,LBCC_DP,16688,1275,0,20762
5,4,1.8062,True,63,167270,618675,33,TT2,j30,LBCC_DP,293797,15874,0,306241
5,5,0.0197289,True,76,3099,8362,33,TT2,j30,LBCC_DP,2677,158,0,4006
5,6,0.243103,True,64,19770,77098,33,TT2,j30,LBCC_DP,22777,1392,0,45198
5,7,0.318511,True,76,46096,136306,33,TT2,j30,LBCC_DP,58975,4459,0,84919
5,8,0.0844696,True,67,10760,32930,33,TT2,j30,LBCC_DP,10424,677,0,16702
5,9,0.165541,True,49,21334,62846,33,TT2,j30,LBCC_DP,22503,2313,0,37903
5,10,0.0601685,True,70,7757,21593,33,TT2,j30,LBCC_DP,6589,723,0,10499
6,1,0.15554,True,59,17293,59437,33,TT2,j30,LBCC_DP,16779,1324,0,14910
6,2,0.476027,True,51,44531,162059,33,TT2,j30,LBCC_DP,46672,1751,0,87507
6,3,0.0694857,True,48,7654,21749,33,TT2,j30,LBCC_DP,5345,955,0,13556
6,4,0.35798,True,42,37351,105951,33,TT2,j30,LBCC_DP,27319,9659,0,42359
6,5,0.0664014,True,67,9855,28721,33,TT2,j30,LBCC_DP,10512,1027,0,9076
6,6,0.0158924,True,37,814,3218,33,TT2,j30,LBCC_DP,508,162,0,1557
6,7,0.122278,True,46,16313,45394,33,TT2,j30,LBCC_DP,9426,3118,0,25833
6,8,0.59019,True,39,59530,237510,33,TT2,j30,LBCC_DP,54718,5,0,99977
6,9,0.0277469,True,51,2874,8780,33,TT2,j30,LBCC_DP,2251,301,0,4690
6,10,0.0974022,True,61,10341,31596,33,TT2,j30,LBCC_DP,7774,1622,0,15374
7,1,0.0025553,True,55,311,832,33,TT2,j30,LBCC_DP,14,0,0,309
7,2,0.000476674,True,42,33,92,33,TT2,j30,LBCC_DP,0,0,0,89
7,3,0.00216667,True,42,143,459,33,TT2,j30,LBCC_DP,32,10,0,224
7,4,0.00067277,True,44,38,129,33,TT2,j30,LBCC_DP,0,0,0,45
7,5,0.140469,True,44,15117,44506,33,TT2,j30,LBCC_DP,10216,3686,0,18199
7,6,0.000656612,True,35,61,187,33,TT2,j30,LBCC_DP,0,0,0,192
7,7,0.0179415,True,50,2006,6123,33,TT2,j30,LBCC_DP,1033,0,0,3600
7,8,0.0123278,True,44,1361,4734,33,TT2,j30,LBCC_DP,1090,0,0,2637
7,9,0.0520776,True,60,9071,23248,33,TT2,j30,LBCC_DP,7351,1508,0,8788
7,10,0.187048,True,49,28133,86579,33,TT2,j30,LBCC_DP,28374,3256,0,50822
8,1,0.000447711,True,44,33,98,33,TT2,j30,LBCC_DP,0,0,0,56
8,2,0.000587772,True,51,36,109,33,TT2,j30,LBCC_DP,0,0,0,66
8,3,0.000486422,True,53,33,115,33,TT2,j30,LBCC_DP,0,0,0,50
8,4,0.00041657,True,48,33,92,33,TT2,j30,LBCC_DP,0,0,0,70
8,5,0.0006327,True,58,54,151,33,TT2,j30,LBCC_DP,6,0,0,71
8,6,0.000724477,True,47,44,167,33,TT2,j30,LBCC_DP,3,0,0,57
8,7,0.000741468,True,41,41,156,33,TT2,j30,LBCC_DP,0,0,0,46
8,8,0.000427952,True,51,34,83,33,TT2,j30,LBCC_DP,0,0,0,45
8,9,0.00267229,True,39,141,664,33,TT2,j30,LBCC_DP,1,0,0,388
