group,exam,time,finished,makespan,expand_number,generated_number,depth,PetriType,SetType,Heuristic,dominance_pruned,dominance_pop_pruned,ub_pruned
8,3,300,False,0,16534632,137167496,0,TT2,j60,LBCS_DP,65129887,3809,0
8,4,0.0154083,True,64,1153,6376,63,TT2,j60,LBCS_DP,1063,0,0
8,5,0.00316528,True,83,113,992,63,TT2,j60,LBCS_DP,0,0,0
8,6,300,False,0,7308612,98757245,0,TT2,j60,LBCS_DP,26596568,0,0
8,7,0.00309035,True,62,84,769,63,TT2,j60,LBCS_DP,0,0,0
8,8,0.00389143,True,66,127,1194,63,TT2,j60,LBCS_DP,0,0,0
8,9,0.00228161,True,58,76,686,63,TT2,j60,LBCS_DP,1,0,0
8,10,0.00219669,True,97,73,626,63,TT2,j60,LBCS_DP,0,0,0
9,1,300,False,0,6739800,69360343,0,TT2,j60,LBCS_DP,22745942,106245,0
9,2,300,False,0,8008148,75880815,0,TT2,j60,LBCS_DP,32398506,884820,0
9,3,300,False,0,7089868,69229545,0,TT2,j60,LBCS_DP,22754635,310151,0
9,4,300,False,0,7059462,73757142,0,TT2,j60,LBCS_DP,26043707,693243,0
9,5,300,False,0,6447326,61903402,0,TT2,j60,LBCS_DP,20059988,152597,0
9,6,300,False,0,6479595,60139745,0,TT2,j60,LBCS_DP,20166579,620847,0
9,7,300,False,0,7358146,66242879,0,TT2,j60,LBCS_DP,20360268,256199,0
9,8,300,False,0,6793271,69031316,0,TT2,j60,LBCS_DP,26923890,407229,0
9,9,300,False,0,6152735,61401585,0,TT2,j60,LBCS_DP,20769895,499267,0
9,10,300,False,0,7523859,77825786,0,TT2,j60,LBCS_DP,24094315,233663,0
10,1,0.49831,True,85,19274,168701,63,TT2,j60,LBCS_DP,20358,0,0
10,2,0.0897897,True,62,1846,20975,63,TT2,j60,LBCS_DP,1180,0,0
10,3,300,False,0,4107327,44278486,0,TT2,j60,LBCS_DP,11290735,30,0
10,4,300,False,0,5004720,51676404,0,TT2,j60,LBCS_DP,17505791,911,0
10,5,300,False,0,6812994,65565261,0,TT2,j60,LBCS_DP,23196383,1013,0
10,6,52.1589,True,67,1429058,16569141,63,TT2,j60,LBCS_DP,3395292,0,0
10,7,300,False,0,7101080,77628992,0,TT2,j60,LBCS_DP,21444214,2696,0
10,8,300,False,0,9784554,115063863,0,TT2,j60,LBCS_DP,32484533,0,0
10,9,300,False,0,4125023,53626700,0,TT2,j60,LBCS_DP,11125988,0,0
10,10,300,False,0,5483205,68078325,0,TT2,j60,LBCS_DP,18886991,0,0
11,1,0.114064,True,71,3628,34687,63,TT2,j60,LBCS_DP,2743,0,0
11,2,1.12238,True,61,51650,431985,63,TT2,j60,LBCS_DP,81781,0,0
11,3,0.00820083,True,76,382,2775,63,TT2,j60,LBCS_DP,75,0,0
11,4,6.19518,True,69,204193,1904098,63,TT2,j60,LBCS_DP,305809,0,0
11,5,0.0152698,True,65,655,6032,63,TT2,j60,LBCS_DP,108,0,0
11,6,300,False,0,6282489,76947088,0,TT2,j60,LBCS_DP,21882351,0,0
11,7,0.227459,True,70,16360,106392,63,TT2,j60,LBCS_DP,19342,0,0
11,8,0.0583437,True,69,533,6448,63,TT2,j60,LBCS_DP,36,0,0
11,9,0.00439555,True,62,88,759,63,TT2,j60,LBCS_DP,0,0,0
11,10,0.0504602,True,58,2069,16704,63,TT2,j60,LBCS_DP,754,0,0
12,1,0.00206648,True,59,63,560,63,TT2,j60,LBCS_DP,0,0,0
12,2,0.0113785,True,58,269,3136,63,TT2,j60,LBCS_DP,0,0,0
12,3,0.00384482,True,75,93,971,63,TT2,j60,LBCS_DP,0,0,0
12,4,0.00195576,True,69,63,567,63,TT2,j60,LBCS_DP,0,0,0
12,5,0.00258504,True,63,71,642,63,TT2,j60,LBCS_DP,0,0,0
12,6,0.00265614,True,54,76,731,63,TT2,j60,LBCS_DP,0,0,0
12,7,0.00198249,True,71,63,533,63,TT2,j60,LBCS_DP,0,0,0
12,8,0.00225715,True,60,69,552,63,TT2,j60,LBCS_DP,0,0,0
12,9,0.14311,True,59,4227,48037,63,TT2,j60,LBCS_DP,2486,0,0
12,10,0.0186685,True,79,567,5497,63,TT2,j60,LBCS_DP,121,0,0
13,1,300,False,0,7332039,65795634,0,TT2,j60,LBCS_DP,18193565,31792,0
13,2,300,False,0,8307869,75217116,0,TT2,j60,LBCS_DP,19472803,34279,0
13,3,300,False,0,5056549,59952736,0,TT2,j60,LBCS_DP,10230032,812,0
13,4,300,False,0,5194958,58647612,0,TT2,j60,LBCS_DP,12413429,23836,0
13,5,300,False,0,6311735,69856615,0,TT2,j60,LBCS_DP,13180292,825,0
13,6,300,False,0,7234566,73940472,0,TT2,j60,LBCS_DP,16633308,13962,0
13,7,300,False,0,4767336,49148991,0,TT2,j60,LBCS_DP,11516843,22302,0
13,8,300,False,0,7539297,74240675,0,TT2,j60,LBCS_DP,19303741,182184,0
13,9,300,False,0,6435940,56197523,0,TT2,j60,LBCS_DP,13477621,39142,0
13,10,300,False,0,6786161,60164397,0,TT2,j60,LBCS_DP,17436781,24115,0
