group,exam,time,finished,makespan,expand_number,generated_number,depth,PetriType,SetType,Heuristic,dominance_pruned,dominance_pop_pruned,ub_pruned
1,1,300,False,0,5151187,108242190,0,TT2,j90,LBMAX_DP,23618320,0,0
1,2,300,False,0,7139024,112256502,0,TT2,j90,LBMAX_DP,32950411,0,0
1,3,300,False,0,6650192,107110289,0,TT2,j90,LBMAX_DP,28771451,0,0
1,4,300,False,0,6574509,109337869,0,TT2,j90,LBMAX_DP,28366361,0,0
1,5,300,False,0,6556058,108392840,0,TT2,j90,LBMAX_DP,31996981,0,0
1,6,300,False,0,5033954,88204147,0,TT2,j90,LBMAX_DP,21453437,0,0
1,7,300.328,False,0,9149181,152295051,0,TT2,j90,LBMAX_DP,37132194,0,0
1,8,300,False,0,5973029,109826917,0,TT2,j90,LBMAX_DP,22738236,84,0
1,9,300,False,0,6142287,119735423,0,TT2,j90,LBMAX_DP,50935562,0,0
1,10,300,False,0,10099709,141797607,0,TT2,j90,LBMAX_DP,45336381,0,0
2,1,0.480528,True,96,24700,201725,93,TT2,j90,LBMAX_DP,42485,0,0
2,2,2.17485,True,114,53527,764042,93,TT2,j90,LBMAX_DP,5332,0,0
2,3,300,False,0,4756179,81758109,0,TT2,j90,LBMAX_DP,22691716,0,0
2,4,300,False,0,5315526,91781224,0,TT2,j90,LBMAX_DP,32273259,0,0
2,5,0.24881,True,100,6607,99966,93,TT2,j90,LBMAX_DP,7936,0,0
2,6,300,False,0,10467783,125279225,0,TT2,j90,LBMAX_DP,52614071,0,0
2,7,29.4183,True,92,516953,9729521,93,TT2,j90,LBMAX_DP,2712014,0,0
2,8,0.133622,True,82,2937,56543,93,TT2,j90,LBMAX_DP,2772,0,0
2,9,300,False,0,7598199,105548353,0,TT2,j90,LBMAX_DP,37194176,0,0
2,10,300,False,0,4319033,81390092,0,TT2,j90,LBMAX_DP,19462957,0,0
3,1,300,False,0,12116692,109858957,0,TT2,j90,LBMAX_DP,43651445,99,0
3,2,300,False,0,7933987,106713460,0,TT2,j90,LBMAX_DP,37787295,0,0
3,3,127.567,True,71,4649822,47934042,93,TT2,j90,LBMAX_DP,19696457,0,0
3,4,0.00316892,True,104,114,1250,93,TT2,j90,LBMAX_DP,1,0,0
3,5,131.47,True,75,2692443,43008234,93,TT2,j90,LBMAX_DP,13615838,0,0
3,6,11.4842,True,68,301155,4143047,93,TT2,j90,LBMAX_DP,1164417,0,0
3,7,300,False,0,4707199,89279584,0,TT2,j90,LBMAX_DP,20428027,0,0
3,8,300,False,0,7070226,109116307,0,TT2,j90,LBMAX_DP,39875312,0,0
3,9,300,False,0,4566136,82609776,0,TT2,j90,LBMAX_DP,28886597,0,0
3,10,300,False,0,4474791,80024642,0,TT2,j90,LBMAX_DP,21952862,0,0
4,1,0.0036103,True,93,99,1414,93,TT2,j90,LBMAX_DP,0,0,0
4,2,300,False,0,9139725,125555484,0,TT2,j90,LBMAX_DP,47742866,0,0
4,3,0.00414273,True,67,141,1492,93,TT2,j90,LBMAX_DP,9,0,0
4,4,300,False,0,13076386,131574246,0,TT2,j90,LBMAX_DP,63889616,0,0
4,5,1.47072,True,88,27779,463643,93,TT2,j90,LBMAX_DP,77924,0,0
4,6,0.0209908,True,78,641,7883,93,TT2,j90,LBMAX_DP,0,0,0
4,7,0.0157796,True,80,706,6989,93,TT2,j90,LBMAX_DP,192,0,0
4,8,0.00316275,True,69,93,1254,93,TT2,j90,LBMAX_DP,0,0,0
4,9,1.18577,True,79,28346,393721,93,TT2,j90,LBMAX_DP,76297,0,0
4,10,0.00314878,True,68,93,1177,93,TT2,j90,LBMAX_DP,0,0,0
5,1,300,False,0,4274030,73990931,0,TT2,j90,LBMAX_DP,10015766,0,0
5,2,300,False,0,5231955,83385246,0,TT2,j90,LBMAX_DP,25198771,50,0
5,3,300,False,0,5348300,85192951,0,TT2,j90,LBMAX_DP,18734852,8,0
5,4,300,False,0,4656696,78640422,0,TT2,j90,LBMAX_DP,16314431,1874,0
5,5,300,False,0,5438021,76097020,0,TT2,j90,LBMAX_DP,18447130,2284,0
5,6,300,False,0,4602542,78668316,0,TT2,j90,LBMAX_DP,19492237,122756,0
5,7,300,False,0,7767885,99196490,0,TT2,j90,LBMAX_DP,22602371,20,0
5,8,300,False,0,6077711,88843213,0,TT2,j90,LBMAX_DP,27782917,11416,0
5,9,300,False,0,6163815,87136782,0,TT2,j90,LBMAX_DP,20650310,12170,0
5,10,300,False,0,5653490,87408876,0,TT2,j90,LBMAX_DP,21945422,0,0
6,1,300,False,0,5055149,78222067,0,TT2,j90,LBMAX_DP,19944137,0,0
6,2,303.415,False,0,4362156,69216004,0,TT2,j90,LBMAX_DP,24548445,0,0
6,3,300,False,0,4767369,80112987,0,TT2,j90,LBMAX_DP,23105809,0,0
6,4,26.911,True,80,1124549,9909188,93,TT2,j90,LBMAX_DP,4460425,0,0
6,5,300,False,0,3492870,72759571,0,TT2,j90,LBMAX_DP,10100639,0,0
6,6,300,False,0,10001669,76732482,0,TT2,j90,LBMAX_DP,34650154,3522,0
6,7,300,False,0,5586159,58951803,0,TT2,j90,LBMAX_DP,26398271,0,0
6,8,300,False,0,4192355,87301431,0,TT2,j90,LBMAX_DP,22076918,0,0
6,9,300,False,0,4769420,84628376,0,TT2,j90,LBMAX_DP,24694884,0,0
6,10,300,False,0,3361111,62940052,0,TT2,j90,LBMAX_DP,14426461,0,0
7,1,0.0166478,True,88,325,5536,93,TT2,j90,LBMAX_DP,280,0,0
7,2,0.345152,True,77,8367,119123,93,TT2,j90,LBMAX_DP,22864,0,0
7,3,300,False,0,5297914,75590545,0,TT2,j90,LBMAX_DP,29115238,0,0
7,4,304.146,False,0,7163073,88444297,0,TT2,j90,LBMAX_DP,33010316,0,0
7,5,300,False,0,6847734,86656999,0,TT2,j90,LBMAX_DP,25527320,15,0
7,6,0.242098,True,90,12699,93920,93,TT2,j90,LBMAX_DP,18028,0,0
7,7,0.00728269,True,90,173,2355,93,TT2,j90,LBMAX_DP,0,0,0
