group,exam,time,finished,makespan,expand_number,generated_number,depth,PetriType,SetType,Heuristic,dominance_pruned,dominance_pop_pruned,ub_pruned
1,1,0.125382,True,43,14750,75112,33,TT2,j30,LBCS_DP,20677,4205,0
1,2,0.459868,True,47,56303,285124,33,TT2,j30,LBCS_DP,79078,17320,0
1,3,0.242868,True,47,38978,161696,33,TT2,j30,LBCS_DP,58647,7393,0
1,4,1.21947,True,62,153274,748164,33,TT2,j30,LBCS_DP,298829,42156,0
1,5,0.358752,True,39,48183,228017,33,TT2,j30,LBCS_DP,108365,7983,0
1,6,0.0588389,True,48,8400,39363,33,TT2,j30,LBCS_DP,18265,866,0
1,7,0.0527315,True,60,6648,36867,33,TT2,j30,LBCS_DP,6801,0,0
1,8,0.0897944,True,53,14139,67950,33,TT2,j30,LBCS_DP,17736,1,0
1,9,0.204757,True,49,24852,124945,33,TT2,j30,LBCS_DP,51501,5420,0
1,10,0.162326,True,45,20583,108936,33,TT2,j30,LBCS_DP,48776,2708,0
2,1,0.0503346,True,38,5643,32200,33,TT2,j30,LBCS_DP,14424,544,0
2,2,1.49068,True,51,225085,996305,33,TT2,j30,LBCS_DP,415172,51771,0
2,3,0.00539099,True,43,701,3458,33,TT2,j30,LBCS_DP,536,0,0
2,4,1.82589,True,43,230003,1239918,33,TT2,j30,LBCS_DP,437695,93,0
2,5,0.0130987,True,51,986,6948,33,TT2,j30,LBCS_DP,616,0,0
2,6,0.263608,True,47,36777,180075,33,TT2,j30,LBCS_DP,48689,4,0
2,7,0.00445631,True,47,381,2502,33,TT2,j30,LBCS_DP,29,0,0
2,8,0.594317,True,54,85396,435576,33,TT2,j30,LBCS_DP,162840,15749,0
2,9,0.399357,True,54,59856,269990,33,TT2,j30,LBCS_DP,54040,11948,0
2,10,0.154858,True,43,21575,99988,33,TT2,j30,LBCS_DP,26622,6852,0
3,1,0.000368922,True,72,35,147,33,TT2,j30,LBCS_DP,0,0,0
3,2,0.157273,True,40,20943,111171,33,TT2,j30,LBCS_DP,27946,226,0
3,3,0.00856813,True,57,920,4883,33,TT2,j30,LBCS_DP,699,0,0
3,4,0.00152018,True,98,219,889,33,TT2,j30,LBCS_DP,6,0,0
3,5,0.173525,True,53,24675,121134,33,TT2,j30,LBCS_DP,57567,4843,0
3,6,0.000454129,True,54,36,180,33,TT2,j30,LBCS_DP,0,0,0
3,7,0.000497737,True,48,33,201,33,TT2,j30,LBCS_DP,0,0,0
3,8,0.000448014,True,54,37,178,33,TT2,j30,LBCS_DP,0,0,0
3,9,2.9268,True,65,412115,2108968,33,TT2,j30,LBCS_DP,721403,59187,0
3,10,1.25988,True,59,196626,877288,33,TT2,j30,LBCS_DP,365846,15042,0
4,1,0.000451036,True,49,41,181,33,TT2,j30,LBCS_DP,0,0,0
4,2,0.00119409,True,60,229,716,33,TT2,j30,LBCS_DP,21,0,0
4,3,0.063496,True,47,7343,40853,33,TT2,j30,LBCS_DP,5485,0,0
4,4,0.000378635,True,57,33,135,33,TT2,j30,LBCS_DP,0,0,0
4,5,0.0429302,True,59,5243,27177,33,TT2,j30,LBCS_DP,8133,0,0
4,6,0.000572676,True,45,53,201,33,TT2,j30,LBCS_DP,0,0,0
4,7,0.00481006,True,56,505,2785,33,TT2,j30,LBCS_DP,186,0,0
4,8,0.00037056,True,55,33,139,33,TT2,j30,LBCS_DP,0,0,0
4,9,0.165391,True,38,17900,109379,33,TT2,j30,LBCS_DP,27334,1,0
4,10,0.00381955,True,48,487,2251,33,TT2,j30,LBCS_DP,180,0,0
5,1,0.198869,True,53,22657,104801,33,TT2,j30,LBCS_DP,35137,3134,0
5,2,0.324533,True,82,43659,201358,33,TT2,j30,LBCS_DP,97851,5661,0
5,3,0.412707,True,76,55413,251966,33,TT2,j30,LBCS_DP,143278,8418,0
5,4,1.95453,True,63,165994,933400,33,TT2,j30,LBCS_DP,437213,16193,0
5,5,0.200044,True,76,26734,129755,33,TT2,j30,LBCS_DP,71892,1818,0
5,6,0.697745,True,64,49639,319741,33,TT2,j30,LBCS_DP,114946,3535,0
5,7,2.51313,True,76,229066,1259061,33,TT2,j30,LBCS_DP,686531,27294,0
5,8,0.286763,True,67,30948,163539,33,TT2,j30,LBCS_DP,66771,2486,0
5,9,0.376036,True,49,44421,213091,33,TT2,j30,LBCS_DP,96943,5941,0
5,10,0.239936,True,70,28633,133046,33,TT2,j30,LBCS_DP,63862,3748,0
6,1,0.596422,True,59,71383,324721,33,TT2,j30,LBCS_DP,103519,5815,0
6,2,2.24342,True,51,191455,1147039,33,TT2,j30,LBCS_DP,328518,10112,0
6,3,0.22121,True,48,26407,116186,33,TT2,j30,LBCS_DP,42279,5010,0
6,4,0.726158,True,42,81686,315464,33,TT2,j30,LBCS_DP,88184,26110,0
6,5,0.213407,True,67,33697,142647,33,TT2,j30,LBCS_DP,62081,4778,0
6,6,0.0125335,True,37,772,4869,33,TT2,j30,LBCS_DP,611,106,0
6,7,0.398333,True,46,52838,234439,33,TT2,j30,LBCS_DP,56288,11521,0
6,8,5.21,True,39,389589,2506686,33,TT2,j30,LBCS_DP,774120,583,0
6,9,0.231381,True,51,26606,118197,33,TT2,j30,LBCS_DP,30069,7290,0
6,10,0.17551,True,61,20533,87954,33,TT2,j30,LBCS_DP,26263,4780,0
7,1,0.00550467,True,55,745,3097,33,TT2,j30,LBCS_DP,362,0,0
7,2,0.00732019,True,42,563,3480,33,TT2,j30,LBCS_DP,338,0,0
7,3,0.00663843,True,42,684,3307,33,TT2,j30,LBCS_DP,377,46,0
7,4,0.0827552,True,44,9654,52754,33,TT2,j30,LBCS_DP,11253,17,0
7,5,0.513842,True,44,59249,242376,33,TT2,j30,LBCS_DP,66502,18270,0
7,6,0.057451,True,35,4905,31915,33,TT2,j30,LBCS_DP,5872,0,0
