group,exam,time,finished,makespan,expand_number,generated_number,depth,PetriType,SetType,Heuristic,dominance_pruned,dominance_pop_pruned,ub_pruned,dr4_pruned
1,1,300,False,0,12775573,97692579,0,TT2,j90,LBMAX_DP,20804896,0,0,138220446
1,2,300,False,0,13061976,99957731,0,TT2,j90,LBMAX_DP,36481502,0,0,99702365
1,3,300,False,0,14527797,104046829,0,TT2,j90,LBMAX_DP,41867399,0,0,132082783
1,4,300,False,0,11612326,91077273,0,TT2,j90,LBMAX_DP,26266691,0,0,96361838
1,5,300,False,0,20451648,116424740,0,TT2,j90,LBMAX_DP,45200567,0,0,192866005
1,6,300,False,0,8677772,79892153,0,TT2,j90,LBMAX_DP,17655861,0,0,61883187
1,7,300,False,0,21292500,113930474,0,TT2,j90,LBMAX_DP,44282024,0,0,219298148
1,8,300,False,0,15328059,100621546,0,TT2,j90,LBMAX_DP,30331604,160,0,151067754
1,9,300,False,0,17692010,118826735,0,TT2,j90,LBMAX_DP,50161195,0,0,147723908
1,10,300,False,0,15342732,109066091,0,TT2,j90,LBMAX_DP,36561500,5,0,97675915
2,1,2.51313,True,96,85888,878663,93,TT2,j90,LBMAX_DP,211203,0,0,480111
2,2,0.00549313,True,114,327,2102,93,TT2,j90,LBMAX_DP,162,0,0,1550
2,3,300,False,0,11997274,103677971,0,TT2,j90,LBMAX_DP,37178851,0,0,74478566
2,4,87.1432,True,70,6011147,36580363,93,TT2,j90,LBMAX_DP,13838479,0,0,31443947
2,5,0.0536769,True,100,7897,27079,93,TT2,j90,LBMAX_DP,9039,0,0,21073
2,6,0.0226294,True,67,2886,10029,93,TT2,j90,LBMAX_DP,1789,0,0,4872
2,7,0.00397534,True,92,253,1732,93,TT2,j90,LBMAX_DP,0,0,0,824
2,8,4.82319,True,82,225683,1520766,93,TT2,j90,LBMAX_DP,499835,0,0,2166201
2,9,126.699,True,79,5828465,32815287,93,TT2,j90,LBMAX_DP,11880533,740,0,17453857
2,10,6.68116,True,80,274773,2126385,93,TT2,j90,LBMAX_DP,371636,0,0,2306501
3,1,0.00129577,True,81,107,528,93,TT2,j90,LBMAX_DP,1,0,0,460
3,2,158.906,True,84,6383010,57203844,93,TT2,j90,LBMAX_DP,23624343,0,0,21930757
3,3,0.0484073,True,71,2659,20281,93,TT2,j90,LBMAX_DP,3993,0,0,9847
3,4,0.00110719,True,104,101,465,93,TT2,j90,LBMAX_DP,0,0,0,412
3,5,0.00432157,True,75,229,1779,93,TT2,j90,LBMAX_DP,0,0,0,937
3,6,37.1393,True,68,1842640,15052659,93,TT2,j90,LBMAX_DP,7034754,0,0,10727899
3,7,0.00121172,True,87,95,502,93,TT2,j90,LBMAX_DP,0,0,0,424
3,8,300,False,0,19278603,119433517,0,TT2,j90,LBMAX_DP,60349592,0,0,157434607
3,9,0.00167187,True,61,101,665,93,TT2,j90,LBMAX_DP,0,0,0,684
3,10,300,False,0,13351366,99780729,0,TT2,j90,LBMAX_DP,44901944,0,0,91790399
4,1,0.0924606,True,93,93,462,93,TT2,j90,LBMAX_DP,0,0,0,485
4,2,0.0121394,True,89,955,5285,93,TT2,j90,LBMAX_DP,823,0,0,3062
4,3,0.0226493,True,67,1322,8814,93,TT2,j90,LBMAX_DP,783,0,0,9735
4,4,0.00115171,True,92,93,465,93,TT2,j90,LBMAX_DP,0,0,0,499
4,5,0.00124403,True,88,93,523,93,TT2,j90,LBMAX_DP,0,0,0,451
4,6,0.00135033,True,78,93,535,93,TT2,j90,LBMAX_DP,0,0,0,590
4,7,0.00136569,True,80,93,560,93,TT2,j90,LBMAX_DP,0,0,0,539
4,8,0.0015185,True,69,93,612,93,TT2,j90,LBMAX_DP,0,0,0,547
4,9,0.00135214,True,79,101,503,93,TT2,j90,LBMAX_DP,0,0,0,588
4,10,0.0017032,True,68,93,714,93,TT2,j90,LBMAX_DP,0,0,0,460
5,1,300,False,0,9467127,83102628,0,TT2,j90,LBMAX_DP,10410751,0,0,87686515
5,2,300.002,False,0,9907503,75099243,0,TT2,j90,LBMAX_DP,17561937,4,0,81142021
5,3,300,False,0,11817551,84041464,0,TT2,j90,LBMAX_DP,14803636,8,0,93636933
5,4,300,False,0,9718965,80727745,0,TT2,j90,LBMAX_DP,18566144,13674,0,84076338
5,5,300,False,0,11025358,81707759,0,TT2,j90,LBMAX_DP,19806998,629,0,75005069
5,6,300,False,0,8579896,74390999,0,TT2,j90,LBMAX_DP,18426362,138455,0,74527253
5,7,300,False,0,12369883,87058706,0,TT2,j90,LBMAX_DP,20213591,22,0,66132789
5,8,300,False,0,9295550,69322311,0,TT2,j90,LBMAX_DP,15761250,4294,0,69246018
5,9,300,False,0,12237312,75387929,0,TT2,j90,LBMAX_DP,20436175,816445,0,83583496
5,10,300,False,0,9466089,80180574,0,TT2,j90,LBMAX_DP,17605300,0,0,66526276
6,1,6.11858,True,82,322545,1719611,93,TT2,j90,LBMAX_DP,480372,0,0,608764
6,2,0.00253352,True,86,147,853,93,TT2,j90,LBMAX_DP,0,0,0,1006
6,3,300,False,0,5681565,49405805,0,TT2,j90,LBMAX_DP,14363203,0,0,31419132
6,4,0.0167828,True,80,668,5632,93,TT2,j90,LBMAX_DP,34,0,0,5322
